Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Recapture 18,Comments
9000-12075,7/15/2006,MP1,BTLH,F,AHY,2006,former R47686,,,,,,,,,,,,,,,,,,"2003 yr group, NEW BAND"
9000-12078,7/16/2006,MCGC,BTLH,M,HY,2006,7/16 again,7/17 3.5g,,,,,,,,,,,,,,,,,
9000-12080,7/16/2006,MCGC,BTLH,F,AHY,2006,7/27 3.6g,8/3 3.4g,,,,,,,,,,,,,,,,,HTW
9000-12081,7/16/2006,MCGC,BTLH,F,AHY,2006,8/3 4.1g,,,,,,,,,,,,,,,,,,HTW
9000-12083,7/16/2006,MCGC,BTLH,F,AHY,2006,7/17 3.7g,,,,,,,,,,,,,,,,,,
9000-12084,7/16/2006,MCGC,BTLH,F,AHY,2006,7/19 3.3g,7/26 3.9g,7/31 3.5g,8/8 3.3g,8/13 3.6g,,,,,,,,,,,,,,
9000-12085,7/16/2006,MCGC,BTLH,F,AHY,2006,7/16 again,7/18 3.9g,7/19 3.4g,7/31 3.1g,8/1 3.4g,8/3 3.2g 2x,8/10 3.1g,8/11 3.0g,8/13 3.0g,8/15 3.3g,8/18 2.7g,8/21 2.7g,8/23 2.8g,8/24 3.1g,8/26 2.9g,8/27 2.8g,8/31 3.1g,,
9000-12087,7/16/2006,MCGC,BTLH,F,AHY,2006,7/20 3.4g at CC3,,,,,,,,,,,,,,,,,,
9000-12088,7/16/2006,MCGC,BTLH,F,AHY,2006,7/31 3.5g at CC3,8/3 3.9g,,,,,,,,,,,,,,,,,
9000-12089,7/16/2006,MCGC,BTLH,F,AHY,2006,7/21 3.4g,7/28 3.8g,7/31 3.5g 2x,,,,,,,,,,,,,,,,
9000-12093,7/17/2006,MCGC,BTLH,F,AHY,2006,7/18 3.5g,,,,,,,,,,,,,,,,,,VHTW
9000-12103,7/18/2006,MCGC,RUHU,M,AHY,2006,7/18 again,,,,,,,,,,,,,,,,,,
9000-12112,7/19/2006,MCGC,BTLH,F,AHY,2006,7/24 3.3g,7/31 3.7g,8/3 3.6g,8/8 3.4g,8/16 3.5g,,,,,,,,,,,,,,VHTW
9000-12113,7/19/2006,MCGC,BTLH,F,AHY,2006,7/24 3.2g,,,,,,,,,,,,,,,,,,
9000-12145,7/20/2006,CC2,BTLH,F,AHY,2006,7/28 3.6g at MCGC,,,,,,,,,,,,,,,,,,
9000-12148,7/20/2006,CC3,BTLH,F,AHY,2006,8/3 3.5g at MCGC,8/15 3.5g at MCGC,,,,,,,,,,,,,,,,,
9000-12150,7/21/2006,MCGC,BTLH,F,AHY,2006,7/27 3.4g,7/31 3.4g at CC2,8/3 3.2g,8/8 3.3g,8/10 3.3g,8/15 3.3g,8/19 3.9g,8/24 3.9g,,,,,,,,,,,
9000-12152,7/21/2006,MCGC,BTLH,F,AHY,2006,7/27 3.9g,7/31 3.7g,8/13 3.3g,8/26 3.5g,9/2 3.3g,,,,,,,,,,,,,,HTW
9000-12153,7/24/2006,MCGC,BTLH,F,AHY,2006,8/3 4.2g,,,,,,,,,,,,,,,,,,
9000-12155,7/24/2006,MCGC,BTLH,F,AHY,2006,8/7 3.5g,,,,,,,,,,,,,,,,,,M-HTW
9000-12160,7/25/2006,GNMTN,BTLH,F,AHY,2006,8/2 4.0g,,,,,,,,,,,,,,,,,,HTW
9000-12161,7/25/2006,GNMTN,BTLH,F,AHY,2006,8/2 3.4g,,,,,,,,,,,,,,,,,,
9000-12162,7/25/2006,GNMTN,BTLH,F,AHY,2006,8/17 3.4g,,,,,,,,,,,,,,,,,,
9000-12163,7/25/2006,GNMTN,BTLH,F,AHY,2006,8/2 3.3g 2x,8/9 3.5g 2x,8/17 3.1g,8/25 3.2g,,,,,,,,,,,,,,,LTW
9000-12166,7/25/2006,HOLZ,BTLH,F,AHY,2006,7/25 again,8/2 3.7g,8/17 3.5g,,,,,,,,,,,,,,,,LTW
9000-12167,7/25/2006,HOLZ,BTLH,F,AHY,2006,8/2 n.w.,8/7 3.7g,,,,,,,,,,,,,,,,,missing r3-5r
9000-12168,7/25/2006,HOLZ,BTLH,F,AHY,2006,8/2 3.7g,8/25 3.4g,9/1 n.w.,,,,,,,,,,,,,,,,
9000-12170,7/26/2006,MCGC,BTLH,F,AHY,2006,7/26 3.5g again,,,,,,,,,,,,,,,,,,HTW
9000-12173,7/25/2006,GNMTN,RUHU,F,AHY,2006,7/25 again,,,,,,,,,,,,,,,,,,
9000-12175,7/25/2006,GNMTN,RUHU,F,AHY,2006,7/25 again,,,,,,,,,,,,,,,,,,
9000-12180,7/26/2006,MCGC,RUHU,F,AHY,2006,7/27 4.5g,,,,,,,,,,,,,,,,,,
9000-12194,7/31/2006,MCGC,RUHU,F,AHY,2006,8/1 4.3g,,,,,,,,,,,,,,,,,,
9000-12211,8/8/2006,MCGC,RUHU,M,HY,2006,8/8 again,,,,,,,,,,,,,,,,,,
9000-12212,8/9/2006,GNMTN,RUHU,M,HY,2006,8/9 again 2x,,,,,,,,,,,,,,,,,,
9000-12219,8/16/2006,MP1,RUHU,M,HY,2006,8/16 again,,,,,,,,,,,,,,,,,,
9000-12222,8/20/2006,MP1,RUHU,M,HY,2006,8/20 again,8/25 3.5g,,,,,,,,,,,,,,,,,
9000-12243,8/12/2006,MCGC,BTLH,M,HY,2006,8/13 3.6g,,,,,,,,,,,,,,,,,,
9000-12244,8/12/2006,MCGC,BTLH,M,HY,2006,8/16 3.5g,8/18 3.7g 2x,8/19 3.9g,8/23 3.9g,8/24 4.2g,,,,,,,,,,,,,,
9000-12246,8/13/2006,MCGC,BTLH,M,HY,2006,8/18 3.6g,,,,,,,,,,,,,,,,,,
9000-12253,7/27/2006,MCGC,BTLH,F,AHY,2006,7/31 3.9g,,,,,,,,,,,,,,,,,,
9000-12254,7/27/2006,MCGC,BTLH,F,AHY,2006,7/28 3.6g,8/12 3.3g,8/15 4.0g,,,,,,,,,,,,,,,,MTW
9000-12255,7/27/2006,MCGC,BTLH,F,AHY,2006,7/28 3.4g,,,,,,,,,,,,,,,,,,HTW
9000-12256,7/27/2006,MCGC,BTLH,F,AHY,2006,former N11763,,,,,,,,,,,,,,,,,,"2003 yr group, NEW BAND"
9000-12263,7/31/2006,CC2,BTLH,F,AHY,2006,8/1 3.3g at MCGC,8/15 3.9g at MCGC,,,,,,,,,,,,,,,,,HTW
9000-12266,7/31/2006,CC2,BTLH,F,AHY,2006,8/8 3.2g at MCGC,,,,,,,,,,,,,,,,,,
9000-12268,7/31/2006,MCGC,BTLH,F,AHY,2006,8/1 3.6g,,,,,,,,,,,,,,,,,,
9000-12270,7/31/2006,MCGC,BTLH,F,AHY,2006,8/1 3.7g,,,,,,,,,,,,,,,,,,HTW
9000-12271,7/31/2006,MCGC,BTLH,F,AHY,2006,7/31 again,,,,,,,,,,,,,,,,,,
9000-12312,8/2/2006,HOLZ,BTLH,F,AHY,2006,8/2 again,8/17 3.4g,,,,,,,,,,,,,,,,,
9000-12313,8/2/2006,HOLZ,BTLH,F,AHY,2006,8/9 4.0g 2x,,,,,,,,,,,,,,,,,,VHTW
9000-12314,8/2/2006,HOLZ,BTLH,F,AHY,2006,8/17 4.1g,8/25 3.7g,,,,,,,,,,,,,,,,,
9000-12315,8/2/2006,HOLZ,BTLH,F,AHY,2006,6/17 3.8g,,,,,,,,,,,,,,,,,,L-HTW
9000-12320,8/2/2006,HOLZ,BTLH,F,AHY,2006,8/17 3.9g,,,,,,,,,,,,,,,,,,
9000-12322,8/2/2006,GNMTN,BTLH,F,AHY,2006,8/9 3.8g,,,,,,,,,,,,,,,,,,
9000-12326,8/2/2006,GNMTN,BTLH,F,AHY,2006,8/9 3.9g,,,,,,,,,,,,,,,,,,
9000-12330,8/2/2006,GNMTN,BTLH,F,AHY,2006,8/9 n.w.,8/17 3.9g,,,,,,,,,,,,,,,,,
9000-12331,8/2/2006,GNMTN,BTLH,F,AHY,2006,8/9 3.9g,,,,,,,,,,,,,,,,,,
9000-12354,8/7/2006,MCGC,BTLH,F,HY,2006,8/8 3.7g,,,,,,,,,,,,,,,,,,
9000-12364,8/4/2006,MCGC,BTLH,M,HY,2006,8/7 3.6g,8/8 3.5g,,,,,,,,,,,,,,,,,
9000-12370,8/7/2006,MCGC,BTLH,M,HY,2006,8/8 3.6g,,,,,,,,,,,,,,,,,,
9000-12385,8/8/2006,MCGC,BTLH,F,AHY,2006,8/19 3.3g,,,,,,,,,,,,,,,,,,band cleaned and moved to left leg due to pine pitch
9000-12388,8/9/2006,GNMTN,BTLH,F,AHY,2006,8/9 again,,,,,,,,,,,,,,,,,,
9000-12400,8/9/2006,HOLZ,RUHU,F,HY,2006,8/9 again 2x,,,,,,,,,,,,,,,,,,
9000-12408,8/9/2006,HOLZ,BTLH,F,AHY,2006,8/17 3.5g  ,,,,,,,,,,,,,,,,,,L-MTW
9000-12426,8/12/2006,MCGC,BTLH,F,AHY,2006,8/12 again,,,,,,,,,,,,,,,,,,
9000-12436,8/13/2006,MCGC,BTLH,F,HY,2006,8/13 again,8/15 4.2g,8/16 3.6g 2x,8/19 3.4g,,,,,,,,,,,,,,,stress bars on tips of r1-2
9000-12441,8/13/2006,MCGC,BTLH,F,AHY,2006,8/15 4.3g,8/21 4.0g,,,,,,,,,,,,,,,,,
9000-12449,8/16/2006,MCGC,BTLH,F,HY,2006,8/16 3.7g again,8/18 3.7g ,,,,,,,,,,,,,,,,,stress bars/rectrices 
9000-12480,8/18/2006,MCGC,BTLH,F,HY,2006,8/18 again,,,,,,,,,,,,,,,,,,
9000-12544,8/25/2006,HOLZ,RUHU,F,AHY,2006,8/25 again,,,,,,,,,,,,,,,,,,
9000-12557,8/31/2006,MCGC,BTLH,M,HY,2006,8/31 again,,,,,,,,,,,,,,,,,,possibly related to E12085 
9000-12558,8/31/2006,MCGC,BTLH,M,HY,2006,9/3 3.6g,,,,,,,,,,,,,,,,,,possibly related to E12085 
9000-12572,9/2/2006,MCGC,BTLH,M,HY,2006,9/2 again,,,,,,,,,,,,,,,,,,
9000-12573,9/2/2006,MCGC,BTLH,M,HY,2006,9/2 again,,,,,,,,,,,,,,,,,,
9000-12582,9/3/2006,MCGC,BTLH,M,HY,2006,9/10 3.5g,,,,,,,,,,,,,,,,,,
9000-12589,9/4/2006,CC2,BTLH,M,HY,2006,9/12 3.7g 2x at MCGC,,,,,,,,,,,,,,,,,,
9000-12595,9/9/2006,MP1,BTLH,M,HY,2006,9/9 again 2x,,,,,,,,,,,,,,,,,,
9000-12608,8/31/2006,MCGC,BTLH,F,HY,2006,9/5 3.4g,,,,,,,,,,,,,,,,,,
9000-12622,9/2/2006,MP1,BTLH,F,HY,2006,9/3 3.3g,,,,,,,,,,,,,,,,,,captured w/E12632
9000-12630,9/3/2006,MCGC,BTLH,F,HY,2006,9/5 3.5g,,,,,,,,,,,,,,,,,,captured w/E12632
9000-12641,9/8/2006,MCGC,BTLH,F,HY,2006,9/8 3.4g,,,,,,,,,,,,,,,,,,
9000-12653,7/8/2006,MCGC,CAHU,M,AHY,2006,7.8 n.w.,,,,,,,,,,,,,,,,,,
9000-12668,8/3/2006,MCGC,CAHU,M,HY,2006,8/3 again,,,,,,,,,,,,,,,,,,
9000-12692,8/13/2006,MCGC,CAHU,M,HY,2006,8/13 again 2x,8/15 3.0g,,,,,,,,,,,,,,,,,
9000-12693,8/9/2006,GNMTN,CAHU,M,HY,2006,8/9 again,,,,,,,,,,,,,,,,,,
