Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments
9000-39458,06/22/07,MCGC,BTLH,F,AHY,2007,"6/23, 3.5g",,,,,,,,,,,,,,,,,
9000-39461,06/23/07,MCGC,BTLH,F,AHY,2007,"7/1, 3.3g ","7/2, 3.4g LTW",,,,,,,,,,,,,,,,
9000-39463,06/23/07,MCGC,BTLH,F,AHY,2007,"7/1, 4.2g E7","7/9, 3.5g","7/18, 3.7g","7/19, n.w.","7/27, 4.3g","8/13, 4.2g","8/21, 3.4g HTW",,,,,,,,,,,
9000-39464,06/23/07,MCGC,BTLH,F,AHY,2007,"7/18, 2X, 4.3g","7/27, n.w.","7/30, 4.2g","8/3, 3.7g LTW",,,,,,,,,,,,,,
9000-39474,06/27/07,MCGC,BTLH,F,AHY,2007,"6/30, 3.4g","7/10, 3.6g","7/27, 4.1g","7/30, 2X, 3.7g HTW",,,,,,,,,,,,,,
9000-39477,06/28/07,MCGC,BTLH,F,AHY,2007,"7/1, 3.5g","7/2, 3.8g","7/9, 3.4g","7/14, 3.8g","7/27, 3.6g",,,,,,,,,,,,,
9000-39478,06/28/07,MCGC,BTLH,F,AHY,2007,"7/1, 3.5g MTW",,,,,,,,,,,,,,,,,
9000-39480,06/29/07,HOLZ,BTLH,F,AHY,2007,"7/17, 3.6g","8/8, 3.7g","    8/14, 4.2g NTW",,,,,,,,,,,,,,,
9000-39481,06/29/07,HOLZ,BTLH,F,AHY,2007,"7/24, 4.0g","8/1, 3.9g","8/8, 3.5g","8/14, 3.4g",,,,,,,,,,,,,,
9000-39483,06/29/07,HOLZ,BTLH,F,AHY,2007,                                                       ,,,,,,,,,,,,,,,,,Found dead at Holzwarth Columbine cabin on 7/24/07. Cause of death unknown.
9000-39485,06/29/07,HOLZ,BTLH,F,AHY,2007,"7/17, 3.1g ","8/14, 3.9g NTW",,,,,,,,,,,,,,,,
9000-39487,06/29/07,HOLZ,BTLH,F,AHY,2007,"7/17, n.w. LTW",,"8/1, 3.8g MTW","8/8, 3.5g","8/14, n.w. HTW",,,,,,,,,,,,,
9000-39488,06/29/07,HOLZ,BTLH,F,AHY,2007,"7/17, 3.5g LTW",,"7/24, 3.7g","8/1, 3.9g HTW",,,,,,,,,,,,,,
9000-39489,06/29/07,HOLZ,BTLH,F,AHY,2007,"8/1, 3.6g ","8/8, 3.6g LTW","8/14, 4.1g",,,,,,,,,,,,,,,
9000-39490,06/29/07,HOLZ,BTLH,F,AHY,2007,"8/1, 3.8g MTW","8/8, 3.8g","8/14, 3.7g",,,,,,,,,,,,,,,
