Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture Year,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Recapture 11,Recapture 12,Recapture 13,Recapture 14,Recapture 15,Recapture 16,Recapture 17,Comments,
9000-12558,08/31/2006,MCGC,BTLH,M,HY,2008,"5/16, 3.3g","5/17, 3.2g","6/23, 3.3g","6/28, 3.2g",,,,,,,,,,,,,,,
9000-12564,08/27/2006,MCGC,BTLH,F,HY,2008,"7/14, 3.5g","8/16, 3.4g mtw",,,,,,,,,,,,,,,,,
9000-12589,09/04/2006,CC2,BTLH,M,HY,2008,"6/24, 3.2g at MCGC             ",6/28 3.1g at MCGC,,,,,,,,,,,,,,,,,
9000-12618,09/02/2006,HPK1,BTLH,F,AHY,2008,"6/16, 3.6g",,,,,,,,,,,,,,,,,,
9000-12635,09/04/2006,MCGC,BTLH,F,HY,2008,"7/4, 3.7g, 8 g.f.c. at HPK1",,,,,,,,,,,,,,,,,,
9000-12647,05/11/2007,CC3,BTLH,F,AHY,2008,"6/24, 3.9g at MCGC",,,,,,,,,,,,,,,,,,
9000-39020,05/13/2007,MP1,BTLH,M,AHY,2008,"6/16, 3.4g",,,,,,,,,,,,,,,,,,
9000-39027,05/17/2007,HPK1,BTLH,M,AHY,2008,"6/2, 3.5g",,,,,,,,,,,,,,,,,,
9000-39048,06/07/2007,MCGC,BTLH,M,AHY,2008,"5/16, 3.2g",,,,,,,,,,,,,,,,,,
9000-39055,06/09/2007,MCGC,BTLH,M,AHY,2008,"6/18, 3.3g at CC3",,,,,,,,,,,,,,,,,,
9000-39060,06/12/2007,MP1,BTLH,M,AHY,2008,"6/17, 3.3g",,,,,,,,,,,,,,,,,,
9000-39061,06/12/2007,MCGC,BTLH,M,AHY,2008,"6/18, 3.4g","6/28, 3.5g 2x","6/24, 3.4g",,,,,,,,,,,,,,,,
9000-39068,06/13/2007,GNMTN,BTLH,M,AHY,2008,"6/14, 3.4g at HOLZ 3x","6/21, 3.3g","6/28, 3.2g at HOLZ","7/12, 3.4g at HOLZ",,,,,,,,,,,,,,,
9000-39071,06/14/2007,MCGC,BTLH,M,AHY,2008,"6/19, 3.5g","6/29, 3.3g",,,,,,,,,,,,,,,,,
9000-39072,06/14/2007,MCGC,BTLH,M,AHY,2008,"5/16, 3.4g 4x","6/18, 3.1g","7/6, 3.2g 2x",,,,,,,,,,,,,,,,
9000-39075,06/17/2007,MCGC,BTLH,M,AHY,2008,"6/18, 3.2g","7/1, 3.2g",,,,,,,,,,,,,,,,,
9000-39084,06/18/2007,MCGC,BTLH,M,AHY,2008,"6/16, 3.3g","6/17, 3.4g","6/18, 3.3g",,,,,,,,,,,,,,,,
9000-39091,06/19/2007,MP1,BTLH,M,AHY,2008,"5/31, 3.2g 2x",,,,,,,,,,,,,,,,,,
9000-39100,06/19/2007,HPK1,BTLH,M,AHY,2008,"7/4, 3.4g",,,,,,,,,,,,,,,,,,
9000-39105,06/21/2007,MCGC,BTLH,M,AHY,2008,"5/16, 3.4g 4x","5/17, 3.2g","6/18, 3.2g","6/19, 3.2g",,,,,,,,,,,,,,,
9000-39118,06/22/2007,MCGC,BTLH,M,AHY,2008,"5/16, 3.2g",,,,,,,,,,,,,,,,,,
9000-39127,06/27/2007,MCGC,BTLH,M,AHY,2008,"6/17, 3.5g","6/19, 3.2g","6/29, 3.2g",,,,,,,,,,,,,,,,
9000-39129,06/27/2007,MCGC,BTLH,M,AHY,2008,"5/16, 3.2g 2x","5/17, 3.4g","6/29, 3.2g 2x",,,,,,,,,,,,,,,,
9000-39131,06/27/2007,MCGC,BTLH,M,AHY,2008,"5/17, 3.7g",,,,,,,,,,,,,,,,,,
9000-39151,07/02/2007,MCGC,BTLH,M,AHY,2008,"6/18, 3.1g",,,,,,,,,,,,,,,,,,
9000-39160,07/07/2007,MCGC,BTLH,M,AHY,2008,"5/16, 3.2g","5/17, 3.0g 2x",,,,,,,,,,,,,,,,,
9000-39180,07/10/2007,MCGC,BTLH,M,AHY,2008,"7/9, 3.3g",,,,,,,,,,,,,,,,,,
9000-39201,05/13/2007,MP1,BTLH,F,AHY,2008,"6/6, 3.7g",,,,,,,,,,,,,,,,,,
9000-39202,05/13/2007,MP1,BTLH,F,AHY,2008,"6/2, 3.6g",,,,,,,,,,,,,,,,,,
9000-39209,05/16/2007,MP1,BTLH,F,AHY,2008,"6/6, 4.2g",,,,,,,,,,,,,,,,,,
9000-39215,05/20/2007,MP1,BTLH,F,AHY,2008,"6/3, 4.4g E9","8/1, 3.8g l-mtw",,,,,,,,,,,,,,,,,
9000-39216,05/20/2007,MP1,BTLH,F,AHY,2008,"6/17, 3.6g",,,,,,,,,,,,,,,,,,
9000-39227,05/21/2007,MP1,BTLH,F,AHY,2008,"6/16, 3.6g E7",,,,,,,,,,,,,,,,,,
9000-39242,05/30/2007,MP1,BTLH,F,AHY,2008,"7/26, 3.5g htw",,,,,,,,,,,,,,,,,,
9000-39246,06/04/2007,KV1,BTLH,F,AHY,2008,"6/28, 4.0g E6",,,,,,,,,,,,,,,,,,
9000-39248,06/04/2007,KV1,BTLH,F,AHY,2008,"6/14, 3.8g E6",,,,,,,,,,,,,,,,,,
