Band Number,Recapture Date,Recapture Site,Species,Recaptured Sex,Recapture Age,Recapture Year,Recapture 1,Comments
9100-23208,7/12/2012,HPK2,BTLH,M,AHY,2012,3,
4100-59868,7/12/2012,HPK2,BTLH,F,AHY,2012,3.62,
3100-41414,7/12/2012,HPK2,BTLH,F,AHY,2012,3.49,
4100-59588,7/13/2012,KV1,BTLH,F,AHY,2012,3.3,
4100-59590,7/13/2012,KV1,BTLH,F,AHY,2012,3.53,
4100-58614,7/13/2012,KV1,BTLH,F,AHY,2012,3.43,
9100-22760,7/13/2012,KV1,BTLH,F,AHY,2012,3.78,
4100-59396,7/13/2012,KV1,BTLH,F,AHY,2012,3.76,banded today
9100-23717,7/13/2012,KV1,BTLH,F,AHY,2012,,banded today
9100-23680,7/13/2012,KV1,BTLH,F,AHY,2012,,
4100-59489,7/13/2012,GNMTN,BTLH,F,AHY,2012,3.61,
9100-23380,7/13/2012,GNMTN,BTLH,F,AHY,2012,3.41,
9100-22929,7/13/2012,GNMTN,BTLH,F,AHY,2012,3.91,
9100-23466,7/13/2012,GNMTN,BTLH,F,AHY,2012,3.7,
4100-08817,7/13/2012,GNMTN,BTLH,F,AHY,2012,4.14,
3100-42889,7/13/2012,GNMTN,BTLH,F,AHY,2012,"E8+, 3.99",
9100-23464,7/13/2012,GNMTN,BTLH,F,AHY,2012,,
9100-23412,7/13/2012,GNMTN,BTLH,F,AHY,2012,3.63,
4100-08778,7/13/2012,HOLZ,BTLH,F,AHY,2012,3.6,
9100-23337,7/13/2012,HOLZ,BTLH,M,AHY,2012,3.37,
9100-23511,7/13/2012,HOLZ,BTLH,M,AHY,2012,3.39,
9100-23314,7/13/2012,HOLZ,BTLH,F,AHY,2012,3.5,
4100-08547,7/13/2012,HOLZ,BTLH,F,AHY,2012,3.53,
9100-23492,7/13/2012,HOLZ,BTLH,F,AHY,2012,3.47,
9100-23508,7/13/2012,HOLZ,BTLH,M,AHY,2012,3.34,
9100-23568,7/13/2012,HOLZ,BTLH,F,AHY,2012,3.4,
4100-59321,7/13/2012,HOLZ,BTLH,F,AHY,2012,3.32,
9100-23487,7/13/2012,HOLZ,BTLH,F,AHY,2012,3.47,
9100-23392,7/13/2012,HOLZ,BTLH,F,AHY,2012,3.6,
3100-42225,7/13/2012,HOLZ,BTLH,F,AHY,2012,,
4100-59756,7/14/2012,MP1,BTLH,F,AHY,2012,4.31,
4100-59146,7/14/2012,MP1,BTLH,F,AHY,2012,3.8,
4100-08219,7/14/2012,MP1,BTLH,F,AHY,2012,"E9+, 4.77",
9100-23360,7/14/2012,MP1,BTLH,F,AHY,2012,3.69,
9100-23209,7/14/2012,MP1,BTLH,M,AHY,2012,3.17,
3100-41880,7/14/2012,MP1,BTLH,F,AHY,2012,3.61,
4100-59554,7/14/2012,MP1,BTLH,F,AHY,2012,2.99,
9100-22900,7/14/2012,MP1,BTLH,F,AHY,2012,4.03,
9100-23650,7/14/2012,MP1,BTLH,F,AHY,2012,3.38,
4100-59483,7/14/2012,MP1,BTLH,F,AHY,2012,3.56,
9100-23300,7/14/2012,MP1,BTLH,F,AHY,2012,3.42,
9100-23316,7/14/2012,MP1,BTLH,M,AHY,2012,3.04,
9100-23610,7/14/2012,MP1,BTLH,M,AHY,2012,3.41,
9000-90252,7/14/2012,MP1,BTLH,F,AHY,2012,3.54,
3100-41619,7/14/2012,MP1,BTLH,F,AHY,2012,4.2,
9100-23128,7/14/2012,MP1,BTLH,F,AHY,2012,3.95,
9100-22947,7/14/2012,MP1,BTLH,F,AHY,2012,4.04,
4100-08567,7/19/2012,MP1,BTLH,F,AHY,2012,3.5,
9100-23353,7/19/2012,MP1,BTLH,F,AHY,2012,3.03,
4100-59941,7/19/2012,MP1,BTLH,M,AHY,2012,3.11,
4100-58851,7/19/2012,MP1,BTLH,F,AHY,2012,3.9,
4100-59376,7/19/2012,MP1,BTLH,F,AHY,2012,3.7,
4100-58988,7/19/2012,MP1,BTLH,F,AHY,2012,3.95,
4100-08216,7/19/2012,MP1,BTLH,F,AHY,2012,3.5,
