Band Number,Original Date,Original Site,Species,Original Sex,Original Age,Recapture 1,Recapture 2,Recapture 3,Recapture 4,Recapture 5,Recapture 6,Recapture 7,Recapture 8,Recapture 9,Recapture 10,Comments
5000-29462,6/15/2004,MCGC,BTLH,F,AHY,"7/14, 3.3g",,,,,,,,,,
5000-29463,6/15/2004,MCGC,BTLH,F,AHY,"6/17, 3.2g","7/15, 3.1g ltw",,,,,,,,,
5000-29467,6/15/2004,MCGC,BTLH,F,AHY,"6/16, 3.3g 3x",,,,,,,,,,
5000-29470,6/15/2004,MCGC,BTLH,M,AHY,"6/17, 3.5g",,,,,,,,,,
5000-29475,6/16/2004,MCGC,BTLH,F,AHY,"6/17, 3.2g","6/18, 3.1g","7/15, 3.4g",,,,,,,,
5000-29478,6/16/2004,MCGC,BTLH,F,AHY,"6/17, 3.9g 2x",,,,,,,,,,
5000-29482,6/18/2004,MCGC,BTLH,F,AHY,"6/18, 3.4g","7/24, 3.4g",,,,,,,,,
5000-29486,6/18/2004,MCGC,BTLH,F,AHY,"7/10, 3.5g","7/11, 3.7g","7/24, 3.5g","7/28, 3.4g",,,,,,,
5000-29496,6/25/2004,KV1,BTLH,F,AHY,"7/25, 3.4g",,,,,,,,,,
5000-29498,6/25/2004,KV1,BTLH,F,AHY,"7/6, 3.6g",,,,,,,,,,
5000-29515,6/25/2004,GNMTN,BTLH,F,AHY,"6/25, nw","6/30, 3.6g","7/6, 3.9g","7/18, 3.5g",,,,,,,
5000-29516,6/25/2004,GNMTN,BTLH,F,AHY,"6/30, 3.3g 2x",,,,,,,,,,
5000-29517,6/25/2004,GNMTN,BTLH,M,AHY,"6/25, nw, 2x","KV1,8/12,4.0g",,,,,,,,,
5000-29518,6/25/2004,GNMTN,BTLH,F,AHY,"6/30, 3.9g","7/6, 3.8g,2x",,,,,,,,,
5000-29519,6/25/2004,GNMTN,BTLH,F,AHY,"6/25, nw, 2x","8/22, 3.8g",,,,,,,,,
5000-29521,6/25/2004,GNMTN,BTLH,F,AHY,"6/25, nw","6/30, 4.0gE9","7/6, 3.8g,E7","7/13, 3.6g","7/22, 3.7g",,,,,,
5000-29522,6/25/2004,GNMTN,BTLH,F,AHY,"6/30, 3.3g","7/6, 3.4g",,,,,,,,,
5000-29523,6/25/2004,GNMTN,BTLH,F,AHY,"6/30, 3.9g","7/6, 3.8g, 2x","7/13, 3.6g","7/18, 3.7g,2x","7/22, 3.9g","8/12, 3.7g",,,,,
5000-29524,6/25/2004,GNMTN,BTLH,F,AHY,"6/30, nw","7/6, 3.6g, 2x","7/18, 3.4g",,,,,,,,
5000-29525,6/25/2004,GNMTN,BTLH,F,AHY,"6/30, 4.1gE7, 3x","7/6, 3.6g,2x","7/13, 3.5g,2x","7/18, 3.7g",,,,,,,
5000-29526,6/26/2004,MCGC,BTLH,F,AHY,"6/28, 3.6g","7/11, 3.5g",,,,,,,,,
5000-29527,6/26/2004,MCGC,BTLH,F,AHY,"6/26, 3.5g","6/27, 3.6g","7/15, 3.6g","7/24, 3.5g","7/28, 3.7g","8/14, 3.4g ltw",,,,,
5000-29529,6/27/2004,MCGC,BTLH,M,AHY,"7/10, 3.2g",,,,,,,,,,
5000-29534,6/30/2004,GNMTN,BTLH,M,AHY,"6/30, 3.4g2x","7/6, 3.4g2x",,,,,,,,,
5000-29535,6/30/2004,GNMTN,BTLH,F,AHY,"7/6, 3.2g",,,,,,,,,,
5000-29536,6/30/2004,GNMTN,BTLH,F,AHY,"6/30, nw",,,,,,,,,,
5000-29537,6/30/2004,GNMTN,BTLH,F,AHY,"7/13, 3.3g",,,,,,,,,,
5000-29538,6/30/2004,GNMTN,BTLH,F,AHY,"7/13, 3.6g",,,,,,,,,,
5000-29543,6/30/2004,GNMTN,BTLH,F,AHY,"7/13, 3.5g",,,,,,,,,,
5000-29546,7/6/2004,GNMTN,BTLH,F,AHY,"7/22, 3.7g",,,,,,,,,,
5000-29547,7/6/2004,GNMTN,BTLH,F,AHY,"7/22, 3.6g",,,,,,,,,,
5000-29551,7/6/2004,GNMTN,BTLH,F,AHY,"7/18, 3.5g","7/22, 3.8g",,,,,,,,,
5000-29559,7/6/2004,KV1,BTLH,F,AHY,"8/22, 3.9g",,,,,,,,,,
