Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length ,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-29426,8/12/2003,1223,MCGC,FE,BTLH,M,HY,3.3,48.1,18,29.5,5.5,,,,,"v dark r1-5, little ru at base"
5000-29427,8/12/2003,1248,MCGC,FE,BTLH,M,AHY,3.6,49.8,17.5,30.9,4.8,,,,,white tips r4-5
5000-29428,8/12/2003,1256,MCGC,FE,BTLH,F,AHY,3.9,49.4,19.2,31.5,5.5,"H, r3-4l,r5rt",,,,r5 rt missing tip
5000-29441,8/15/2003,1535,MCGC,FE,RUHU,M,HY,3.2,42.5,16.6,26.5,3.5,,5 C,M-H,,unusual r1 pattern
5000-29442,8/15/2003,1550,MCGC,FE,BTLH,F,AHY,3.9,,19.3,28.5,5.2,L,,,,"y. pollen, top of bill"
5000-29443,8/15/2003,1600,MCGC,TE,BTLH,M,AHY,3.4,49.6,16.7,32,5,,,,,
5000-29444,8/15/2003,1604,MCGC,FE,BTLH,F,AHY,3.4,49.2,18.5,29,5,"M, r3",,,,
5000-29445,8/17/2003,1821,MP1,TE,CAHU,M,HY,4,43,15.6,16,4.5,,,M,70%,tips of bill cross
5000-29446,8/15/2003,1620,MCGC,TE,RUHU,M,HY,3.4,40.9,16.2,26.5,4,,"9 C,R",L,90%,
5000-29447,8/15/2003,1630,MCGC,TE,RUHU,F,HY,3.1,45.1,17.3,26,4,,,L,90%,
4000-47651,8/16/2003,917,MCGC,FE,BTLH,M,AHY,4.1,50,18.5,27,5,,,,,r4-5 no white tip
4000-47652,8/16/2003,1251,MCGC,FE,BTLH,M,HY,3.6,50.1,17.5,24.5,5.5,,,H,70%,r1 shorter than r2-3. Y.pollen
4000-47653,8/16/2003,1303,MCGC,FE,BTLH,M,HY,3.7,49.9,17.5,no r1,6,,,H,90%,"missing Lr1,2 and rt r1 "
4000-47654,8/16/2003,1727,MCGC,FE,RUHU,M,HY,3.5,41.6,10.1,25.6,3,,1 C,M,,
5000-29448,8/16/2003,714,MCGC,FE,BTLH,F,HY,3.4,48.6,18.2,29.9,5.5,,,L,85%,
5000-29449,8/16/2003,720,MCGC,TE,BTLH,M,AHY,3.9,50.7,,30,5,,,,,
5000-29450,8/16/2003,726,MCGC,FE,BTLH,F,AHY,3.8,50.9,19.2,29.5,5.8,"L, r3",12 C,,,
4000-47655,8/17/2003,732,MCGC,FE,BTLH,M,AHY,3.4,49.7,17.5,28.2,4.5,,,,,r4-5 no white tip
4000-47656,8/17/2003,754,MCGC,FE,BTLH,F,AHY,4.7,52.2,19.8,30,5.5,"H,r3l,r3-5rt",,L,,fat-4
4000-47657,8/17/2003,829,MCGC,FE,BTLH,M,HY,3.9,52.5,18.5,31,5.4,,,L-M,60%,
4000-47658,8/17/2003,1711,MP1,TE,BTLH,M,HY,4,49.2,18.4,29,5.5,,,,,
4000-47659,8/17/2003,1721,MP1,TE,BTLH,M,HY,4.4,48.9,17.7,29,5,,,,,
4000-47660,8/17/2003,1730,MP1,TE,BTLH,F,AHY,4.4,50.4,18.6,30,5,,,,,
4000-47661,8/17/2003,1731,MP1,TE,BTLH,F,AHY,4,49.4,,29.8,5.5,,,,,
4000-47662,8/17/2003,1746,MP1,TE,BTLH,F,AHY,4,51,19,31,5.5,H,,,,
4000-47663,8/17/2003,1750,MP1,TE,RUHU,M,HY,4,42.2,15.5,25.5,3,,"4 C, 1 R",,,
