Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,Replaced Band Number
9000-90147,6/7/2008,16:50,KV1,TBE,BTLH,F,AHY,3.7,49.8,18,28,,L,H,,,E7,
9000-90148,6/7/2008,17:12,KV1,TBE,BTLH,F,AHY,4.1,50.5,19.2,29,,,H,,,E8,
9000-90149,6/7/2008,17:27,KV1,TBE,BTLH,F,AHY,3.8,49.3,19,30,,N,N,7c,,E7,
9000-90150,6/8/2008,6:28,MCGC,FCE,BTLH,F,AHY,3.6,50.5,18.8,28.5,,M,M,2c,,,
9000-90151,6/8/2008,12:05,MP1,TBE,BTLH,F,AHY,3.9,49.7,19,29,,N,L,,,,
9000-90152,6/8/2008,12:19,MP1,TBE,BTLH,F,AHY,3.5,48.9,18.7,31,,N,L,,,,
9000-90153,6/8/2008,13:35,MP1,FCE,BTLH,F,AHY,3.7,50.4,18.8,30.4,,N,L,1c vsm,,,
9000-90154,6/9/2008,9:39,CC3,FCE,BTLH,F,AHY,3.3,50.6,19,30,,N,L,2c,,,
9000-90155,6/9/2008,15:15,HPK1,TBE,BTLH,F,AHY,4.2,49.8,18.4,29.5,,N,M,,,E9,
9000-90156,6/9/2008,15:30,HPK1,FCE,BTLH,F,AHY,3.4,49.8,19,30.5,,N,H,,,,
9000-90157,6/9/2008,15:50,HPK1,FCE,BTLH,F,AHY,3.6,50.6,18,31.2,,N,M,,,E6-,
9000-90158,6/9/2008,15:58,HPK1,FCE,BTLH,F,AHY,3.5,50.7,18.8,30.1,,N,M-H,,,,
9000-90159,6/9/2008,16:14,HPK1,FCE,BTLH,F,AHY,3.7,50.5,18.1,29,,N,L,11c,,,
9000-90160,6/9/2008,16:23,HPK1,FCE,BTLH,F,AHY,3.5,50,18.5,29.5,,N,H,,,,
9000-90161,6/9/2008,16:35,HPK1,FCE,BTLH,F,AHY,3.4,51.3,18,30.2,,N,L,,,,
9000-90162,6/11/2008,6:35,MCGC,FCE,BTLH,F,AHY,3.2,49.8,19.1,30,,N,L-M,,,,
9000-90163,6/14/2008,10:20,KV1,FCE,BTLH,F,AHY,4,51,18.2,30.2,,N,L,,,E7,
9000-90164,6/14/2008,10:30,KV1,FCE,BTLH,F,AHY,3.4,51.1,18.5,28.3,,N,M,,,,
9000-90165,6/14/2008,10:40,KV1,FCE,BTLH,F,AHY,3.7,51.4,19.5,30.3,,L,L,,,,
9000-90166,6/14/2008,10:50,KV1,FCE,BTLH,F,AHY,3.8,51.9,19.9,30.8,,N,VH,,,E6,
9000-90167,6/14/2008,10:50,KV1,FCE,BTLH,F,AHY,,,,,,N,H,5c,,Escaped,
9000-90168,6/14/2008,11:12,KV1,FCE,BTLH,F,AHY,3.2,51.1,18,32,,N,H,,,,
9000-90169,6/14/2008,11:13,KV1,FCE,BTLH,F,AHY,3.9,51.1,17,29,,L,,vsn gn,,E7,
9000-90170,6/14/2008,11:28,KV1,FCE,BTLH,F,AHY,4,50.8,19.3,30.6,,N,L,vsm c,,E7,
9000-90171,6/14/2008,11:35,KV1,FCE,BTLH,F,AHY,3.7,50.9,18.1,30.5,,N,L,3c vsm,,,
9000-90172,6/14/2008,11:43,KV1,TBE,BTLH,F,AHY,3.6,48.3,18.4,30.5,,L,VL,,,E6,
9000-90173,6/14/2008,11:51,KV1,TBE,BTLH,F,AHY,3.3,50.5,19,31,,N,VL,,,E7,
9000-90174,6/14/2008,11:57,KV1,TBE,BTLH,F,AHY,3.4,48.8,17.1,30.5,,N,L,,,,
9000-90175,7/4/2008,17:45,MCGC,FCE,BTLH,M,AHY,3.4,49.5,17,31,,,,,,,
9000-90176,6/14/2008,12:19,KV1,TBE,BTLH,F,AHY,3.6,49.7,18,30,,N,L,,,,
9000-90177,6/14/2008,12:19,KV1,TBE,BTLH,F,AHY,3.6,50.3,17.6,29,,L,,7c,,E7,
9000-90178,6/14/2008,14:27,GNMTN,TBE,BTLH,F,AHY,3.6,48.4,19,29.5,,N,L,,,,
9000-90179,6/14/2008,14:28,GNMTN,TBE,BTLH,F,AHY,4.2,49.8,19.2,29,,L,L,,,E8,
9000-90180,6/14/2008,14:44,GNMTN,TBE,BTLH,F,AHY,3.5,49.2,18.1,31,,N,L,,,"E6; reported dead, 24 Jun 08, GnMtn area",
9000-90181,6/14/2008,14:50,GNMTN,TBE,BTLH,F,AHY,4.3,49,18.2,30,,N,M,,,E8,
9000-90182,6/14/2008,15:02,GNMTN,FCE,BTLH,F,AHY,3.1,50.5,19,30.2,,L,L-M,,,E7,
9000-90183,6/14/2008,15:45,GNMTN,TBE,BTLH,F,AHY,4.2,48.9,18.2,29,,N,L,,,E6-,
9000-90184,7/5/2008,14:10,GNMTN,FCE,BTLH,M,AHY,3.6,50.3,16.4,30,,,,,,,
9000-90185,6/14/2008,15:56,GNMTN,TBE,BTLH,F,AHY,3.6,51,18.4,30.5,,N,L,2c,,,
9000-90186,6/24/2008,7:08,MCGC,TBE,BTLH,M,AHY,3.1,48.3,17,31.5,,N,,,,,
9000-90187,6/14/2008,16:04,GNMTN,TBE,BTLH,F,AHY,4.2,50.7,19.2,32,,N,H,,,E7,
