Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments,
9000-39147,07/01/2007,7:20,MCGC,FCE,BTLH,M,AHY,3.4,51.4,17.1,31.0,5.0,N,,,,or. pollen on bill,
9000-39148,07/01/2007,8:20,MCGC,TBE,BTLH,M,AHY,2.9,49.6,17.4,29.5,5.0,N,,,,,
9000-39149,07/01/2007,8:20,MCGC,TBE,BTLH,M,AHY,2.9,48.1,17.6,30.5,5.0,N,,,,r5 v sm white at tip,
9000-39150,07/02/2007,6:33,MCGC,FCE,BTLH,M,AHY,3.5,48.7,17.4,29.8,4.5,N,,,,r5R faint white inner web,
9000-39151,07/02/2007,7:23,MCGC,FCE,BTLH,M,AHY,3.0,48.6,18.1,30.7,4.6,N,,,,,
9000-39152,07/02/2007,9:52,MCGC,FCE,BTLH,M,AHY,3.2,49.4,17.1,31.0,4.2,N,,,,"r5 faint white near tip inner web, or. pollen on bill",
9000-39153,07/06/2007,11:20,KV1,FCE,BTLH,M,AHY,3.1,49.1,16.3,29.5,5.0,N,,,,r5 white inner web at tip,
9000-39154,07/06/2007,13:32,GNMTN,TBE,BTLH,M,AHY,3.2,48.2,17.6,31.0,5.0,N,,,,"r5L white at tip, r3-5R black at tip",
9000-39155,07/06/2007,13:45,GNMTN,TBE,BTLH,M,AHY,3.0,50.2,17.2,31.5,5.0,N,,,,r5 white in/outer web at tip,
9000-39156,07/06/2007,13:46,GNMTN,TBE,BTLH,M,AHY,3.3,48.9,18.5,29.0,4.5,N,,,,,
9000-39157,07/06/2007,14:01,GNMTN,TBE,BTLH,M,AHY,3.4,48.8,18.5,32.0,4.5,N,,,,,
9000-39158,07/06/2007,14:10,GNMTN,TBE,BTLH,M,AHY,3.2,48.5,18.0,30.0,4.5,N,,,,r5 white at tip outer web,
9000-39159,07/06/2007,14:15,GNMTN,TBE,BTLH,M,AHY,3.4,49.2,17.2,32.0,4.0,N,,,,aggressive. R5 sm white dot inner web at tip,
9000-39160,07/07/2007,6:55,MCGC,FCE,BTLH,M,AHY,3.2,49.1,16.5,31.8,4.6,N,,,,,
9000-39161,07/07/2007,12:54,GC1,FCE,BTLH,M,AHY,3.3,48.7,17.8,31.0,4.5,N,,,,r5 white in/outer web at tip,
9000-39162,07/07/2007,16:28,HPK1,TBE,RUHU,F,AHY,3.6,43.1,16.7,27.1,4.0,N,16,H,,,
9000-39163,07/07/2007,16:49,HPK1,FCE,BTLH,M,AHY,3.3,50.0,18.6,31.0,4.5,N,,,,"r5 white in/outer web at tip, r4 faint white tip ",
9000-39164,07/08/2007,6:26,MCGC,FCE,BTLH,M,AHY,3.6,50.9,18.1,30.3,5.0,N,,,,r5 sm white spit inner web at tip,
9000-39165,07/08/2007,6:42,MCGC,FCE,BTLH,M,AHY,3.4,49.4,18.5,31.1,4.5,N,,,,,
9000-39166,07/08/2007,16:25,MP1,TBE,BTLH,M,AHY,3.2,48.8,19.0,30.0,5.0,N,,,,,
9000-39167,07/08/2007,16:28,MP1,TBE,BTLH,M,AHY,3.2,48.1,17.4,31.5,5.0,N,,,,r5 white outer web at tip,
9000-39168,07/08/2007,16:53,MP1,TBE,BTLH,M,AHY,3.5,50.1,17.7,34.0,5.0,N,,,,,
9000-39169,07/08/2007,17:15,MP1,TBE,BTLH,M,AHY,3.5,48.9,17.0,32.0,5.0,N,,,,,
9000-39170,07/08/2007,17:40,MP1,TBE,BTLH,M,AHY,3.7,49.0,18.1,33.0,5.0,N,,,,or. pollen on bill,
9000-39171,07/08/2007,17:40,MP1,TBE,BTLH,M,AHY,3.4,48.9,17.5,30.1,5.0,N,,,,,
9000-39172,07/08/2007,17:55,MP1,FCE,BTLH,M,AHY,3.4,50.9,18.0,32.0,4.3,N,,,,,
9000-39173,07/08/2007,18:10,MP1,FCE,BTLH,M,AHY,3.6,50.0,17.8,32.5,4.1,N,,,,r5 white inner web at tip,
9000-39174,07/09/2007,6:43,MCGC,FCE,BTLH,M,AHY,3.3,49.1,17.5,31.5,4.8,N,,,,,
9000-39175,07/09/2007,8:50,MCGC,FCE,RUHU,F,AHY,3.8,44.7,19.0,27.3,3.5,,,,,,
9000-39176,07/09/2007,16:32,HPK1,TBE,BTLH,M,AHY,3.4,47.7,17.0,30.0,4.5,N,,,,v sm white at tip inner web r5,
9000-39177,07/09/2007,16:34,HPK1,TBE,BTLH,M,AHY,3.3,48.4,17.5,31.0,4.5,N,,,,,
