Band Number,Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
5000-29570,7/9/04,1910,MCGC,FCE,RUHU,M,AHY,3.5,41,15.5,26.5,2.4,N,,,,
5000-29571,7/9/04,1926,MCGC,FCE,BTLH,M,AHY,3.3,49.9,16.5,30.2,4.5,N,,,,
5000-29572,7/9/04,1937,MCGC,FCE,BTLH,F,AHY,4,50.5,18,30,6.5,N,1,,,E7
5000-29573,7/9/04,1940,MCGC,TBE,BTLH,F,AHY,3.9,48.2,19,30,6,N,,,,E8
5000-29574,7/9/04,1959,MCGC,FCE,BTLH,M,AHY,3.6,47.9,17.9,29,4.5,N,,,,
5000-29575,7/10/04,1822,MCGC,FCE,BTLH,M,AHY,3.5,50.1,16.5,30.3,4.8,N,,,,
5000-29576,7/10/04,0615,MCGC,FCE,RUHU,F,AHY,4.1,44.1,17.6,27.5,3.6,N,many C,,,
5000-29577,7/10/04,0647,MCGC,FCE,RUHU,F,HY,3.7,44.4,17,26.3,4,N,,M-H,80%,1st HY RUHU in 2004
5000-29578,7/10/04,0728,MCGC,FCE,RUHU,F,AHY,4,44.6,17.1,28.8,3.5,N,,,,r3-4 lt. wear 
5000-29579,7/10/04,0739,MCGC,FCE,RUHU,M,AHY,3.5,39.7,16.7,26.1,2.5,L,,,,
5000-29580,7/11/04,1300,MCGC,TBE,CAHU,F,AHY,3.2,38.7,16,20,4,N,11C,,,
5000-29581,7/10/04,1827,MCGC,TBE,RUHU,F,AHY,3.6,43.6,,25,4,N,many C,,,
5000-29582,7/10/04,1844,MCGC,FCE,RUHU,M,AHY,3.8,39.1,16.2,27.2,2.5,N,,,,banded on left leg
5000-29583,7/11/04,0601,MCGC,FCE,RUHU,M,AHY,3.3,40,16,28.8,2.5,N,,,,
5000-29584,7/11/04,0642,MCGC,FCE,RUHU,M,AHY,3.6,39.8,16,26.2,2.5,N,,,,
5000-29585,7/11/04,1214,MCGC,FCE,BTLH,M,AHY,3.2,50.2,17.2,30.2,5.1,N,,,,
5000-29586,7/11/04,1150,MCGC,TBE,RUHU,M,AHY,3.6,38.1,16,28.5,2,N,,,,
5000-29587,7/11/04,1151,MCGC,FCE,RUHU,M,AHY,3.4,39.5,16,27.2,2.9,N,,,,
5000-29588,7/11/04,1246,MCGC,TBE,BTLH,F,AHY,3.1,50.3,19,30,5,H,,,,r4 hvy wear
5000-29589,7/12/04,0955,MCGC,TBE,RUHU,F,AHY,3.5,44.6,16,25,4,L,,,,
5000-29590,7/11/04,1243,MCGC,FCE,BTLH,F,AHY,3.7,50.6,18,30.1,5.8,H,,,,r3-4 hvy wear
5000-29591,7/12/04,0955,MCGC,FCE,RUHU,M,AHY,3.5,40.3,16,28,2.2,N,,,,
5000-29592,7/11/04,1300,MCGC,FCE,BTLH,F,AHY,3.5,50.3,18,27.8,6,N,5C,,,
5000-29593,7/12/04,0947,MCGC,FCE,BTLH,F,AHY,3.8,50.1,19,30.8,5.5,N,,,,
5000-29594,7/12/04,1846,CC2,TBE,BTLH,F,AHY,3.8,49.8,19,31,,N,,,,
5000-29595,7/12/04,1859,CC2,TBE,BTLH,F,AHY,3.5,49.4,18.5,30,,H,,,,
5000-29596,7/12/04,1859,CC2,FCE,BTLH,M,AHY,3.6,49.8,18.2,29,,N,,,,
5000-29597,7/13/04,0643,MCGC,FCE,RUHU,M,AHY,3.2,40.5,16,29,2.5,N,,,,
5000-29598,7/13/04,0700,MCGC,FCE,BTLH,M,AHY,3.5,49.8,17,31,4.5,N,,,,
5000-29600,7/13/04,0715,MCGC,FCE,RUHU,F,AHY,3.4,44.7,18,28,,N,,,,banded on left leg
5000-29601,7/13/04,1125,KV1,FCE,RUHU,M,AHY,3.5,41,17,27.5,2.5,N,,,,
5000-29602,7/13/04,1220,KV1,FCE,BTLH,F,AHY,3.3,49.6,19.3,28,5.5,M,,,,also r1 stress marks
5000-29603,7/13/04,1527,GNMTN,TBE,RUHU,M,AHY,3.5,40.6,16.5,27,2.3,N,,,,
5000-29604,7/13/04,1225,KV1,FCE,BTLH,F,AHY,4.1,50.9,18.2,30.1,5.5,M,,,,"r1 stress marks, r3-5 hvy wear"
5000-29605,7/13/04,1250,KV1,FCE,BTLH,F,AHY,3.4,50.2,18.4,29,5.2,H,,H,,r1l hvy wear
5000-29606,7/13/04,1310,KV1,FCE,BTLH,F,AHY,3.5,50.2,19.3,29,5.8,N,12C,,,
5000-29607,7/13/04,1310,KV1,FCE,BTLH,F,AHY,3.6,51.3,18,30,5,N,,,,
5000-29608,7/13/04,1450,GNMTN,TBE,BTLH,F,AHY,4.5,50,18.5,31,6.5,N,,,,E9
5000-29609,7/13/04,1455,GNMTN,TBE,BTLH,F,AHY,3.4,48.9,18.5,29,5.5,N,,,,
5000-29610,7/13/04,1458,GNMTN,TBE,BTLH,M,AHY,3.5,49.6,17.5,30,5,N,,,,
5000-29611,7/13/04,1508,GNMTN,TBE,BTLH,F,AHY,3.8,51.1,19.5,30,6,N,,,,
5000-29612,7/13/04,1519,GNMTN,TBE,BTLH,F,AHY,3.4,51,18.5,29.5,5,N,,,,
5000-29613,7/13/04,1543,GNMTN,TBE,BTLH,F,AHY,3.8,49,18,30,6,N,,,,
5000-29614,7/13/04,1558,GNMTN,TBE,BTLH,F,AHY,3.6,49,20,28,5,H,,,,
5000-29615,7/13/04,1607,GNMTN,TBE,BTLH,F,AHY,4,50.2,19,30,5,H,,,,
5000-29616,7/13/04,2015,MCGC,FCE,BTLH,M,AHY,3.7,50.6,18.1,30.2,5.2,N,,,,
5000-29617,7/13/04,2005,MCGC,TBE,CAHU,M,AHY,2.7,36.8,15,18,3.5,N,,,,
5000-29618,7/13/04,2033,MCGC,TBE,BTLH,M,AHY,3.7,49.5,18,31.5,5,N,,,,
5000-29619,7/14/04,1228,MCGC,FCE,BTLH,F,AHY,3.7,49.9,18.8,30.1,5.5,H,,,,r3-5 hvy wear
5000-29620,7/14/04,1249,MCGC,FCE,BTLH,M,AHY,3.6,49.7,18,30,4.5,N,,,,
