Band Number, Date,Time,Site,Bander,Species,Sex,Age,Mass,Wing Chord,Culmen,r1 Length,r1 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
4100-59181,06/17/2011,18:42,MP1,FCE,BTLH,F,AHY,3.62,50.5,18.0,31.0,,,,,,
4100-59182,06/17/2011,18:56,MP1,FCE,BTLH,F,AHY,3.79,50.3,19.0,31.0,,,,,,E6
4100-59183,06/17/2011,18:56,MP1,FCE,BTLH,F,AHY,3.93,51.2,19.4,31.0,,,,,,E7
4100-59184,06/18/2011,9:54,HPK2,FCE,BTLH,F,AHY,4.05,50.7,18.9,29.2,,,,,,E6
4100-59185,06/18/2011,10:17,HPK2,FCE,BTLH,F,AHY,3.7,50.4,18.1,30.0,,,,,,
4100-59186,06/18/2011,11:11,HPK2,FCE,BTLH,F,AHY,3.7,50.4,18.2,29.8,,,,,,
4100-59187,06/18/2011,12:42,MP1,FCE,BTLH,F,AHY,3.4,51.6,18.0,29.0,,,,,,
4100-59188,06/18/2011,12:42,MP1,FCE,BTLH,F,AHY,3.1,50.7,18.2,30.8,,,,,,
4100-59189,06/18/2011,13:20,MP1,FCE,BTLH,F,AHY,4.2,51.4,18.2,32.8,,,,,,
4100-59190,06/18/2011,13:20,MP1,FCE,BTLH,F,AHY,3.8,49.8,18.8,29.8,,,,,,
4100-59191,06/18/2011,14:19,MP1,FCE,BTLH,F,AHY,,49.7,18.0,30.5,,,,,,E8
4100-59192,06/18/2011,14:00,MP1,FCE,BTLH,F,AHY,3.4,50.8,18.2,30.5,,,,,,
4100-59193,06/18/2011,14:30,MP1,FCE,BTLH,F,AHY,4.1,50.6,19.2,30.5,,,,,,E6
4100-59194,06/18/2011,14:37,MP1,FCE,BTLH,F,AHY,4.1,50.7,19.1,30.0,,,,,,E6
4100-59195,06/18/2011,14:37,MP1,FCE,BTLH,F,AHY,3.8,50.9,18.2,33.0,,,,,,
4100-59196,06/18/2011,17:42,MCGC,FCE,BTLH,F,AHY,3.7,51.3,19.0,29.8,,,,,,E6
4100-59197,06/18/2011,17:55,MCGC,FCE,BTLH,F,AHY,4.1,51.3,17.9,30.2,,,,,,E6
4100-59198,06/19/2011,10:45,MCGC,FCE,BTLH,F,AHY,4.5,50.5,19.0,31.0,,,,,,E7
4100-59199,06/19/2011,10:58,MCGC,FCE,BTLH,F,AHY,3.7,49.1,17.5,30.0,,,,,,
4100-59200,06/19/2011,11:10,MCGC,FCE,BTLH,F,AHY,4,48.1,18.0,30.0,,,,,,
4100-59201,06/19/2011,10:45,MCGC,FCE,BTLH,M,AHY,3,49.5,17.8,31.2,,,,,,
4100-59202,06/19/2011,11:10,MCGC,FCE,BTLH,M,AHY,3.1,49.3,17.8,30.8,,,,,,
4100-59203,06/19/2011,11:44,MCGC,FCE,BTLH,M,AHY,3.5,50.5,17.7,31.7,,,,,,
4100-59204,06/19/2011,12:10,MCGC,FCE,BTLH,M,AHY,3.4,49.0,17.9,30.8,,,,,,
4100-59205,06/19/2011,12:15,MCGC,FCE,BTLH,M,AHY,3.3,48.7,17.1,32.0,,,,,,
4100-59206,06/20/2011,5:57,MCGC,FCE,BTLH,M,AHY,3.4,49.4,16.8,29.8,,,,,,
4100-59207,06/20/2011,7:30,MCGC,FCE,BTLH,M,AHY,3.5,51.4,18.5,32.0,,,,,,
