Band Number,Date,Time,Site,Bander,Species,Age,Sex,Mass,Wing Chord,Culmen,r1 Length,r5 Width,r1-5 Wear,Gorget,Throat,Grooves,Comments
9100-23364,6/12/2012,5:49,MCGC,FCE,BTLH,AHY,F,3.9,50.3,19,30.3,,,,,,E8
9100-23365,6/12/2012,6:20,MCGC,FCE,BTLH,AHY,F,3.3,50.6,19.2,30.8,,,,,,
9100-23366,6/12/2012,6:57,MCGC,TBE,BTLH,AHY,F,3.7,49.9,19.4,29.9,,,,,,
9100-23367,6/12/2012,7:18,MCGC,FCE,BTLH,AHY,F,3.6,50.5,18,29.9,,,,,,
9100-23368,6/12/2012,7:18,MCGC,FCE,BTLH,AHY,F,3.5,50.3,19.1,30.8,,,,,,
9100-23369,6/12/2012,7:18,MCGC,FCE,BTLH,AHY,F,3.8,48.7,19,29.7,,,,,,fat
9100-23370,6/12/2012,8:05,MCGC,FCE,BTLH,AHY,F,3.5,50.1,18,29.7,,,,,,
9100-23371,6/12/2012,8:31,MCGC,FCE,BTLH,AHY,F,3.4,49.6,17,28,,,,,,
9100-23372,6/12/2012,9:00,MCGC,FCE,BTLH,AHY,F,3.7,51.2,19.1,31,,,,,,
9100-23373,6/12/2012,9:00,MCGC,FCE,BTLH,AHY,F,3.6,49.9,19,29.8,,,,,,
9100-23374,6/13/2012,11:19,HOLZ,FCE,BTLH,AHY,F,3.7,50.8,18.8,30.1,,,,,,
9100-23375,6/13/2012,11:34,HOLZ,FCE,BTLH,AHY,F,3.9,50,18,31,,,,,,fat
9100-23376,6/13/2012,11:41,HOLZ,FCE,BTLH,AHY,F,4.2,51.3,18.2,30.1,,,,,,fat
9100-23377,6/13/2012,14:54,GNMTN,FCE,BTLH,AHY,F,3.7,49.6,18.5,30.9,,,,,,
9100-23378,6/13/2012,15:12,GNMTN,FCE,BTLH,AHY,F,4.5,50.5,18.8,29.3,,,,,,E7
9100-23379,6/13/2012,15:20,GNMTN,FCE,BTLH,AHY,F,3.9,51,19.1,31,,,,,,
9100-23380,6/13/2012,15:53,GNMTN,FCE,BTLH,AHY,F,4.3,50.1,19.1,30,,,,,,E8
9100-23381,6/13/2012,16:05,GNMTN,FCE,BTLH,AHY,F,3.3,49.8,18.7,30.4,,,,,,
9100-23382,6/13/2012,16:15,GNMTN,FCE,BTLH,AHY,F,3.9,50.8,18,30.1,,,,,,
9100-23383,6/13/2012,16:15,GNMTN,FCE,BTLH,AHY,F,3.5,50.3,18.2,30,,,,,,
9100-23384,6/16/2012,6:29,MCGC,FCE,BTLH,AHY,F,3.8,50.6,19.2,31.2,,,,,,E7
9100-23385,6/16/2012,7:50,MCGC,FCE,BTLH,AHY,F,3.7,49.4,19.1,28,,,,,,E7
9100-23386,6/16/2012,8:05,MCGC,FCE,BTLH,AHY,F,3.6,50.4,19,29.7,,,,,,
9100-23387,6/16/2012,8:29,MCGC,FCE,BTLH,AHY,F,4.7,51.1,19,30.5,,,,,,E8
9100-23388,6/16/2012,8:52,MCGC,FCE,BTLH,AHY,F,3.9,50.3,19.1,30.5,,,,,,E8
9100-23389,6/18/2012,6:18,MCGC,FCE,BTLH,AHY,F,3.6,50.6,19,30.5,,,,,,
9100-23390,6/18/2012,6:34,MCGC,FCE,BTLH,AHY,F,3.7,50.6,19.2,29,,,,,,E6-
9100-23391,6/21/2012,14:14,GNMTN,FCE,BTLH,AHY,F,3.7,50.8,17,30,,,,,,
9100-23392,6/21/2012,17:15,HOLZ,FCE,BTLH,AHY,F,3.8,49.9,18.8,30.3,,,,,,
9100-23393,7/3/2012,5:50,MCGC,FCE,BTLH,AHY,F,4.2,48.9,18.1,28.2,,,,,,
9100-23394,7/5/2012,7:17,MCGC,FCE,BTLH,AHY,F,3.5,51,19.1,29.9,,,,,,
9100-23395,5/29/2012,7:20,MCGC,FCE,BTLH,AHY,F,3.3,48.9,18.8,28.8,,,,,,"date is correct, 6.2mm"
9100-23396,7/11/2012,19:05,MCGC,FCE,CAHU,AHY,M,2.8,39.5,14,18.1,,,,,,
9100-23397,7/12/2012,19:35,MCGC,FCE,CAHU,AHY,M,2.9,39,14,18.9,,,,,,
9100-23398,7/12/2012,20:20,MCGC,TBE,CAHU,AHY,M,2.9,39.2,15,18,,,,,,
9100-23399,7/13/2012,14:50,HOLZ,FCE,CAHU,AHY,M,2.8,38,14.2,19,,,,,,
9100-23400,7/14/2012,9:20,MCGC,FCE,CAHU,AHY,M,2.9,37.6,14,18,,,,,,
9100-23401,6/18/2012,6:47,MCGC,FCE,BTLH,AHY,F,3.6,50.1,18.5,29.4,,,,,,
9100-23402,6/18/2012,18:00,MP1,FCE,BTLH,AHY,F,3.8,49.9,19,30.1,,,,,,
9100-23403,6/18/2012,18:15,MP1,FCE,BTLH,AHY,F,3.7,51.3,19,31,,,,,,
9100-23404,6/18/2012,18:15,MP1,TBE,BTLH,AHY,F,3.6,49,19,31,,,,,,
9100-23405,6/18/2012,18:30,MP1,FCE,BTLH,AHY,F,3.8,49.9,19.1,31.1,,,,,,E7
9100-23406,6/18/2012,18:30,MP1,FCE,BTLH,AHY,F,3.6,51.1,19.2,29.8,,,,,,
9100-23407,6/18/2012,18:30,MP1,FCE,BTLH,AHY,F,3.5,50.7,18,29.5,,,,,,
9100-23408,6/18/2012,18:58,MP1,TBE,BTLH,AHY,F,3.9,49.9,19,29,,,,,,
9100-23409,6/18/2012,18:58,MP1,TBE,BTLH,AHY,F,4.4,49.2,18.1,31.1,,,,,,E8
9100-23410,6/18/2012,19:15,MP1,FCE,BTLH,AHY,F,3.8,51.3,18.8,31,,,,,,
9100-23411,6/18/2012,19:25,MP1,TBE,BTLH,AHY,F,4.5,49.2,18.1,29,,,,,,E9
9100-23412,6/18/2012,19:35,MP1,TBE,BTLH,AHY,F,4,50,19.5,31,,,,,,
9100-23413,6/18/2012,19:42,MP1,TBE,BTLH,AHY,F,3.9,50.2,18,32,,,,,,
9100-23414,6/18/2012,19:42,MP1,TBE,BTLH,AHY,F,3.7,48.6,18.1,30,,,,,,E6
9100-23415,6/18/2012,19:42,MP1,FCE,BTLH,AHY,F,3.9,50.4,18.3,31,,,,,,
9100-23416,6/18/2012,19:58,MP1,TBE,BTLH,AHY,F,3.5,48.8,18.6,30,,,,,,
9100-23417,6/18/2012,19:58,MP1,TBE,BTLH,AHY,F,3.6,50.8,18,29.9,,,,,,
9100-23418,6/18/2012,20:00,MP1,TBE,BTLH,AHY,F,3.6,49.7,18.5,30,,,,,,
9100-23419,6/19/2012,7:50,MP1,FCE,BTLH,AHY,F,3.3,51.1,18.2,29,,,,,,
9100-23420,6/19/2012,7:59,MP1,FCE,BTLH,AHY,F,3.4,48.9,19.5,29,,,,,,
9100-23421,6/19/2012,8:07,MP1,FCE,BTLH,AHY,F,3.6,50.9,19,30,,,,,,
9100-23422,6/19/2012,8:18,MP1,FCE,BTLH,AHY,F,3.7,49.7,18.9,30.1,,,,,,
9100-23423,6/19/2012,8:18,MP1,TBE,BTLH,AHY,F,3.9,48.8,19.1,29.5,,,,,,
9100-23424,6/19/2012,8:18,MP1,FCE,BTLH,AHY,F,3.6,50.1,18.1,30.4,,,,,,
9100-23425,6/19/2012,8:34,MP1,TBE,BTLH,AHY,F,3.6,49.8,18.1,31,,,,,,
9100-23426,6/19/2012,8:34,MP1,FCE,BTLH,AHY,F,3.9,50.3,19.2,29.8,,,,,,E6
9100-23427,6/19/2012,9:00,MP1,FCE,BTLH,AHY,F,3.3,50.9,18.1,31,,,,,,
9100-23428,6/19/2012,9:34,MP1,TBE,BTLH,AHY,F,3.6,49.6,19.4,29.5,,,,,,
9100-23429,6/19/2012,9:34,MP1,FCE,BTLH,AHY,F,3.6,49.8,18.1,29.8,,,,,,
9100-23430,6/19/2012,9:34,MP1,TBE,BTLH,AHY,F,4.3,50.5,18.3,30.5,,,,,,E9
9100-23431,6/19/2012,9:34,MP1,FCE,BTLH,AHY,F,4,49,18,28.8,,,,,,fat
9100-23432,6/19/2012,10:00,MP1,TBE,BTLH,AHY,F,3.7,48.1,18.1,28.2,,,,,,E7
9100-23433,6/19/2012,10:15,MP1,FCE,BTLH,AHY,F,3.6,50.4,18.9,29.9,,,,,,E6
9100-23434,6/19/2012,10:23,MP1,FCE,BTLH,AHY,F,4.3,49.3,19,30.1,,,,,,fat
9100-23435,6/19/2012,10:35,MP1,FCE,BTLH,AHY,F,3.6,50.3,18.8,31,,,,,,
9100-23436,6/19/2012,10:35,MP1,FCE,BTLH,AHY,F,3.9,49.6,19.9,28.7,,,,,,E7
9100-23437,6/20/2012,5:40,MCGC,FCE,BTLH,AHY,F,3.1,49.9,18,29.7,,,,,,
9100-23438,6/20/2012,6:33,MCGC,FCE,BTLH,AHY,F,3.6,50.8,19,30.2,,,,,,
9100-23439,6/20/2012,6:53,MCGC,TBE,BTLH,AHY,F,4.4,,,,,,,,,
9100-23440,6/20/2012,6:55,MCGC,FCE,BTLH,AHY,F,3.4,49.6,18.2,31,,,,,,
9100-23441,6/20/2012,6:55,MCGC,FCE,BTLH,AHY,F,3.5,50.2,19.3,28.7,,,,,,
9100-23442,6/20/2012,6:55,MCGC,TBE,BTLH,AHY,F,2.9,48.8,18.5,30,,,,,,
9100-23443,6/20/2012,6:55,MCGC,FCE,BTLH,AHY,F,3.2,49.4,19,30.1,,,,,,
9100-23444,6/20/2012,6:55,MCGC,FCE,BTLH,AHY,F,3.7,51.5,18.2,31.8,,,,,,
9100-23445,6/20/2012,7:20,MCGC,FCE,BTLH,AHY,F,3.6,50.2,19.3,30.1,,,,,,
9100-23446,6/20/2012,7:20,MCGC,FCE,BTLH,AHY,F,4.3,48.9,19.8,30.1,,,,,,E9
9100-23447,6/20/2012,7:20,MCGC,FCE,BTLH,AHY,F,4.2,49,18.9,29.6,,,,,,E7
9100-23448,6/20/2012,7:40,MCGC,FCE,BTLH,AHY,F,3.7,50.1,18.1,29,,,,,,
9100-23449,6/20/2012,7:40,MCGC,FCE,BTLH,AHY,F,4,49.9,18.5,31.8,,,,,,E6+
9100-23450,6/20/2012,8:00,MCGC,FCE,BTLH,AHY,F,3.5,51,17.8,31.5,,,,,,
9100-23451,6/20/2012,8:00,MCGC,FCE,BTLH,AHY,F,3.5,50.1,19.2,30.5,,,,,,
9100-23452,6/20/2012,8:25,MCGC,FCE,BTLH,AHY,F,4,50.3,20,30.2,,,,,,
9100-23453,6/20/2012,8:35,MCGC,FCE,BTLH,AHY,F,4.1,51,18,30.4,,,,,,E7
9100-23454,6/20/2012,11:15,CC3,FCE,BTLH,AHY,F,3.6,50.8,19.2,30.9,,,,,,
9100-23455,6/20/2012,11:22,CC3,FCE,BTLH,AHY,F,3.6,49.6,19.1,29.7,,,,,,
9100-23456,6/20/2012,11:29,CC3,FCE,BTLH,AHY,F,4.4,51,18.9,31.5,,,,,,E8
9100-23457,6/20/2012,11:55,CC3,FCE,BTLH,AHY,F,3.8,50.8,20.1,30,,,,,,
9100-23458,6/20/2012,12:00,CC3,FCE,BTLH,AHY,F,3.3,49.6,19.1,31,,,,,,
9100-23459,6/20/2012,12:22,CC3,FCE,BTLH,AHY,F,3.7,49.5,19,29,,,,,,E6
9100-23460,6/21/2012,10:20,KV1,FCE,BTLH,AHY,F,3.6,51.9,18.9,30.5,,,,,,
9100-23461,6/21/2012,12:45,GNMTN,FCE,BTLH,AHY,F,4.5,49.6,18.2,30,,,,,,E6
9100-23462,6/21/2012,12:45,GNMTN,FCE,BTLH,AHY,F,3.5,50.4,19,29.9,,,,,,
9100-23463,6/21/2012,12:45,GNMTN,FCE,BTLH,AHY,F,3.6,49,18.5,31.4,,,,,,E7
9100-23464,6/21/2012,12:45,GNMTN,FCE,BTLH,AHY,F,4.1,50.5,18,29.8,,,,,,E8
9100-23465,6/21/2012,12:45,GNMTN,FCE,BTLH,AHY,F,3.5,50,18.6,31.5,,,,,,
9100-23466,6/21/2012,12:45,GNMTN,FCE,BTLH,AHY,F,4.5,50.3,17.2,30,,,,,,E9
9100-23467,6/21/2012,13:17,GNMTN,FCE,BTLH,AHY,F,3.9,51.7,18.4,31.9,,,,,,
9100-23468,6/21/2012,13:17,GNMTN,FCE,BTLH,AHY,F,4.2,48.7,18,29.7,,,,,,E9
9100-23469,6/21/2012,13:30,GNMTN,FCE,BTLH,AHY,F,3.6,51,19,29,,,,,,
9100-23470,6/21/2012,13:30,GNMTN,FCE,BTLH,AHY,F,3.9,49,19,31,,,,,,
9100-23471,6/21/2012,13:42,GNMTN,FCE,BTLH,AHY,F,4,49.6,17.5,31.2,,,,,,E9
9100-23472,6/21/2012,13:42,GNMTN,FCE,BTLH,AHY,F,3.7,50.4,18.2,30.8,,,,,,E6
9100-23473,6/21/2012,14:14,GNMTN,FCE,BTLH,AHY,F,3.8,50.1,17.7,30.2,,,,,,"p9,10 growing in"
9100-23474,6/21/2012,14:14,GNMTN,FCE,BTLH,AHY,F,4.1,51.5,19.7,31.6,,,,,,fat
9100-23475,6/21/2012,14:14,GNMTN,FCE,BTLH,AHY,F,3.6,50,18,29,,,,,,
9100-23476,6/21/2012,14:40,GNMTN,FCE,BTLH,AHY,F,3.8,49.5,18.2,30.8,,,,,,
9100-23477,6/21/2012,14:40,GNMTN,FCE,BTLH,AHY,F,3.9,50.6,19.5,30.5,,,,,,E7
9100-23478,6/21/2012,14:40,GNMTN,FCE,BTLH,AHY,F,3.6,49.9,19,29.8,,,,,,E6
9100-23479,6/21/2012,14:44,GNMTN,FCE,BTLH,AHY,F,3.9,50.5,17.2,30,,,,,,fat
9100-23480,6/21/2012,17:00,HOLZ,FCE,BTLH,AHY,F,3.9,49.4,18.1,29.2,,,,,,
9100-23481,6/21/2012,17:10,HOLZ,FCE,BTLH,AHY,F,4.7,50.4,19.6,29.1,,,,,,E9
9100-23482,6/21/2012,17:48,HOLZ,FCE,BTLH,AHY,F,4.6,50.6,18.2,30,,,,,,E9
9100-23483,6/21/2012,17:54,HOLZ,FCE,BTLH,AHY,F,3.9,50.1,18.1,31.5,,,,,,E7
9100-23484,6/21/2012,18:08,HOLZ,FCE,BTLH,AHY,F,3.6,50.4,19.9,31.1,,,,,,
9100-23485,6/21/2012,18:08,HOLZ,TBE,BTLH,AHY,F,4.1,49.4,18,31,,,,,,"E6, fat"
9100-23486,6/21/2012,18:20,HOLZ,FCE,BTLH,AHY,F,3.8,50.2,19.1,30.2,,,,,,E6-
9100-23487,6/21/2012,18:30,HOLZ,FCE,BTLH,AHY,F,4.2,49.9,19.3,30.1,,,,,,E7
9100-23488,6/21/2012,18:30,HOLZ,FCE,BTLH,AHY,F,4.4,48.5,18.8,29.1,,,,,,E9
9100-23489,6/21/2012,18:30,HOLZ,FCE,BTLH,AHY,F,3.2,48.7,19.8,30,,,,,,
9100-23490,6/21/2012,18:30,HOLZ,FCE,BTLH,AHY,F,3.4,49.8,19,28.7,,,,,,
9100-23491,6/21/2012,18:50,HOLZ,FCE,BTLH,AHY,F,3.5,50.3,18,29.8,,,,,,
9100-23492,6/21/2012,18:50,HOLZ,TBE,BTLH,AHY,F,3.6,50.1,19,31,,,,,,E6
9100-23493,6/22/2012,6:07,MCGC,FCE,BTLH,AHY,F,4,50.8,17.9,30,,,,,,
9100-23494,6/22/2012,6:19,MCGC,FCE,BTLH,AHY,F,4.1,49.7,18.6,29.8,,,,,,E7
9100-23495,6/22/2012,6:19,MCGC,FCE,BTLH,AHY,F,3.3,49.9,19.1,30.1,,,,,,
9100-23496,6/22/2012,6:19,MCGC,FCE,BTLH,AHY,F,3.6,51.1,20,32,,,,,,
9100-23497,6/22/2012,6:45,MCGC,FCE,BTLH,AHY,F,3.8,50.1,18,29.5,,,,,,
9100-23498,6/22/2012,6:55,MCGC,FCE,BTLH,AHY,F,4,51.1,19.1,31,,,,,,E8
9100-23499,6/22/2012,7:10,MCGC,FCE,BTLH,AHY,F,3.9,50.1,19,29.5,,,,,,
9100-23500,6/22/2012,7:10,MCGC,TBE,BTLH,AHY,F,3.9,49.5,19.4,30,,,,,,
9100-23501,6/21/2012,13:17,GNMTN,FCE,BTLH,AHY,M,3.2,49.9,17.5,31.1,,,,,,
9100-23502,6/21/2012,13:30,GNMTN,FCE,BTLH,AHY,M,3.2,48.4,17.1,29.7,,,,,,
9100-23503,6/21/2012,13:42,GNMTN,FCE,BTLH,AHY,M,3.5,49.4,17.1,30.2,,,,,,
9100-23504,6/21/2012,14:00,GNMTN,FCE,BTLH,AHY,M,3.3,49.4,17,30,,,,,,
9100-23505,6/21/2012,14:40,GNMTN,TBE,BTLH,AHY,M,3.2,49.9,17,31,,,,,,
9100-23506,6/21/2012,16:45,HOLZ,FCE,BTLH,AHY,M,3.1,49.4,18.1,30,,,,,,
9100-23507,6/21/2012,16:52,HOLZ,FCE,BTLH,AHY,M,3.6,49.8,17.8,32.4,,,,,,
9100-23508,6/21/2012,16:58,HOLZ,FCE,BTLH,AHY,M,3.1,49.9,17,31.1,,,,,,
9100-23509,6/21/2012,17:08,HOLZ,TBE,BTLH,AHY,M,3.7,48.9,18,32.1,,,,,,
9100-23510,6/21/2012,17:35,HOLZ,TBE,BTLH,AHY,M,3.3,48,17.5,30.5,,,,,,
9100-23511,6/21/2012,17:35,HOLZ,FCE,BTLH,AHY,M,3.4,48.4,17.2,29.2,,,,,,
9100-23512,6/21/2012,17:54,HOLZ,FCE,BTLH,AHY,M,3.3,51.1,17,31.4,,,,,,
9100-23513,6/21/2012,18:30,HOLZ,TBE,BTLH,AHY,M,3.4,49.8,17.5,29.8,,,,,,
9100-23514,6/22/2012,5:52,MCGC,FCE,BTLH,AHY,M,3.1,48.7,17.2,30.6,,,,,,
9100-23515,6/22/2012,7:18,MCGC,FCE,BTLH,AHY,M,3.1,48.6,17,30,,,,,,
9100-23516,6/26/2012,7:48,MCGC,FCE,BTLH,AHY,M,3.7,48.9,16.3,30.1,,,,,,
9100-23517,6/26/2012,8:15,MCGC,FCE,BTLH,AHY,M,3.4,48.3,18.1,30.6,,,,,,
9100-23518,7/3/2012,6:15,MCGC,FCE,BTLH,AHY,M,3.4,49,18,30.3,,,,,,
9100-23519,7/4/2012,19:30,MCGC,FCE,RUHU,AHY,M,3.4,40.6,16,28,,,,,,
9100-23520,7/5/2012,7:33,MCGC,FCE,BTLH,AHY,M,3.3,49.6,18.1,32,,,,,,
9100-23521,7/5/2012,8:25,MCGC,FCE,BTLH,AHY,M,3.1,49.5,18,31.2,,,,,,
9100-23522,7/6/2012,10:01,HOLZ,FCE,RUHU,AHY,M,3.5,40.1,17.8,28.1,,,,,,
9100-23523,7/6/2012,10:35,HOLZ,FCE,RUHU,AHY,M,3.6,41.4,16.8,28.2,,,,,,
9100-23524,7/6/2012,10:48,HOLZ,FCE,RUHU,AHY,M,4.1,38.8,16.5,27.5,,,,,,
9100-23525,7/6/2012,11:00,HOLZ,FCE,RUHU,AHY,M,3,40.6,15.9,29.2,,,,,,
9100-23526,6/26/2012,5:45,MCGC,FCE,BTLH,AHY,F,4.1,49.1,18.8,,,,,,,"E7, rectrices molt"
9100-23527,6/26/2012,5:45,MCGC,FCE,BTLH,AHY,F,4.1,50.3,20.1,29.5,,,,,,E6
9100-23528,6/26/2012,6:05,MCGC,FCE,BTLH,AHY,F,3.5,50.8,18.3,30.1,,,,,,
9100-23529,6/26/2012,6:23,MCGC,FCE,BTLH,AHY,F,3.5,50.1,18.8,30.3,,,,,,
9100-23530,6/26/2012,6:23,MCGC,FCE,BTLH,AHY,F,4,49.6,19,28.8,,,,,,E6+
9100-23531,6/26/2012,7:55,MCGC,FCE,BTLH,AHY,F,3.8,50.1,18.7,29.5,,,,,,E6
9100-23532,6/26/2012,7:55,MCGC,FCE,BTLH,AHY,F,3.7,49.3,19.2,28.2,,,,,,E6-
9100-23533,6/26/2012,8:25,MCGC,FCE,BTLH,AHY,F,3.7,50.5,18.9,31,,,,,,
9100-23534,7/3/2012,5:50,MCGC,FCE,BTLH,AHY,F,3.7,49.7,18.3,31,,,,,,
9100-23535,7/3/2012,6:30,MCGC,FCE,BTLH,AHY,F,3.7,50.9,18.8,29.2,,,,,,
9100-23536,7/3/2012,6:30,MCGC,FCE,BTLH,AHY,F,3.8,51.2,19.8,30,,,,,,
9100-23537,7/3/2012,7:05,MCGC,FCE,BTLH,AHY,F,3.4,49.1,19.1,29.9,,,,,,
9100-23538,7/4/2012,18:00,MCGC,FCE,BTLH,AHY,F,3.9,50.8,19.8,31.5,,,,,,
9100-23539,7/4/2012,18:00,MCGC,FCE,BTLH,AHY,F,3.4,49.1,18.1,30.8,,,,,,
9100-23540,7/4/2012,18:24,MCGC,FCE,BTLH,AHY,F,3.9,51.7,18.6,30.4,,,,,,
9100-23541,7/4/2012,18:24,MCGC,FCE,BTLH,AHY,F,4,49.9,18.3,30,,,,,,
9100-23542,7/4/2012,18:40,MCGC,FCE,BTLH,AHY,F,4.3,49.8,18.1,28.6,,,,,,
9100-23543,7/5/2012,5:54,MCGC,FCE,BTLH,AHY,F,3.5,49.9,19,30.2,,,,,,
9100-23544,7/5/2012,5:54,MCGC,FCE,BTLH,AHY,F,3.2,50.2,19.1,28,,,,,,
9100-23545,7/5/2012,5:54,MCGC,FCE,BTLH,AHY,F,3.4,50.4,18,30.6,,,,,,
9100-23546,7/5/2012,6:15,MCGC,FCE,BTLH,AHY,F,3.6,48.9,18.8,31,,,,,,
9100-23547,7/5/2012,6:25,MCGC,FCE,BTLH,AHY,F,4.1,50.7,19.1,30,,,,,,
9100-23548,7/5/2012,6:25,MCGC,FCE,BTLH,AHY,F,3.6,49,18,29.5,,,,,,
9100-23549,7/5/2012,6:45,MCGC,FCE,BTLH,AHY,F,3.3,50.9,18.6,31,,,,,,
9100-23550,7/5/2012,7:00,MCGC,FCE,BTLH,AHY,F,3.6,50.2,18.5,28,,,,,,
9100-23551,7/5/2012,7:17,MCGC,FCE,BTLH,AHY,F,3.5,49.7,18,28.9,,,,,,
9100-23552,7/5/2012,7:00,MCGC,TBE,BTLH,AHY,F,3.8,49,19.3,30,,,,,,
9100-23553,7/5/2012,7:32,MCGC,TBE,BTLH,AHY,F,3.9,49.3,19.5,30.3,,,,,,
9100-23554,7/5/2012,7:35,MCGC,FCE,BTLH,AHY,F,3.3,48.7,18.1,30.1,,,,,,
9100-23555,7/5/2012,8:05,MCGC,FCE,BTLH,AHY,F,3.6,49.8,18.2,30,,,,,,
9100-23556,7/6/2012,9:35,HOLZ,FCE,BTLH,AHY,F,3.4,50.3,19.1,30,,,,,,
9100-23557,7/6/2012,9:35,HOLZ,FCE,BTLH,AHY,F,4.1,49.8,19.1,29.6,,,,,,former L58937; E8
9100-23558,7/6/2012,9:35,HOLZ,FCE,BTLH,AHY,F,,49,20,30.9,,,,,,
9100-23559,7/6/2012,10:08,HOLZ,TBE,BTLH,AHY,F,3.6,52.2,19,29.5,,,,,,
9100-23560,7/6/2012,10:08,HOLZ,FCE,BTLH,AHY,F,4.2,50.6,18.2,29,,,,,,E8
9100-23561,7/6/2012,10:27,HOLZ,FCE,BTLH,AHY,F,3.8,50.7,19.8,29.1,,,,,,
9100-23562,7/6/2012,10:27,HOLZ,FCE,BTLH,AHY,F,4.1,51.8,19.1,31.2,,,,,,
9100-23563,7/6/2012,10:27,HOLZ,TBE,BTLH,AHY,F,4.1,49.5,19,29.8,,,,,,E8
9100-23564,7/6/2012,11:12,HOLZ,TBE,BTLH,AHY,F,3.6,49.2,17,,,,,,,
9100-23565,7/6/2012,11:12,HOLZ,FCE,BTLH,AHY,F,4.2,51.2,19.2,31.3,,,,,,fat
9100-23566,7/6/2012,11:12,HOLZ,FCE,BTLH,AHY,F,3.7,50.9,19,30.1,,,,,,
9100-23567,7/6/2012,11:25,HOLZ,TBE,BTLH,AHY,F,3.5,51.1,19.1,30.8,,,,,,
9100-23568,7/6/2012,11:40,HOLZ,TBE,BTLH,AHY,F,3.5,49.6,19.5,31,,,,,,
9100-23569,7/6/2012,11:40,HOLZ,FCE,BTLH,AHY,F,3.6,50.2,18.2,31.7,,,,,,
9100-23570,7/6/2012,11:55,HOLZ,FCE,BTLH,AHY,F,3.7,51,19.6,30.8,,,,,,
9100-23571,7/6/2012,11:55,HOLZ,FCE,BTLH,AHY,F,3.6,50.2,18.8,30.8,,,,,,
9100-23572,7/6/2012,11:55,HOLZ,TBE,BTLH,AHY,F,3.5,50.1,17.2,31,,,,,,
9100-23573,7/6/2012,12:00,HOLZ,FCE,BTLH,AHY,F,4.2,49.1,18,31.2,,,,,,E9
9100-23574,7/6/2012,14:25,GNMTN,FCE,BTLH,AHY,F,3.5,48.6,18.2,30,,,,,,
9100-23575,7/6/2012,14:25,GNMTN,FCE,BTLH,AHY,F,3.4,49,19.1,32,,,,,,
9100-23576,7/8/2012,11:40,MP1,FCE,BTLH,AHY,F,3.5,49.9,18.9,29.8,,,,,,
9100-23577,7/8/2012,11:40,MP1,FCE,BTLH,AHY,F,3.6,50.4,19,30.1,,,,,,
9100-23578,7/8/2012,11:40,MP1,TBE,BTLH,AHY,F,4.5,,,,,,,,,
9100-23579,7/12/2012,19:55,MCGC,FCE,BTLH,AHY,F,3.5,50.7,19,31.2,,,,,,former L59326
9100-23581,7/6/2012,11:30,HOLZ,FCE,RUHU,AHY,M,3.2,41,16.1,29.2,,,,,,
9100-23582,7/6/2012,11:40,HOLZ,FCE,BTLH,AHY,M,3.2,49.5,17,31.2,,,,,,
9100-23583,7/6/2012,12:00,HOLZ,FCE,RUHU,AHY,M,3,39.3,15.2,26.2,,,,,,
9100-23584,7/11/2012,7:20,MCGC,FCE,RUHU,AHY,M,4.1,41.1,16.3,28.5,,,,,,
9100-23585,7/11/2012,8:00,MCGC,FCE,RUHU,AHY,M,3.5,41.3,16.1,29,,,,,,
9100-23586,7/11/2012,9:30,MCGC,FCE,RUHU,AHY,M,3.6,40.1,16.3,29.4,,,,,,
9100-23587,7/12/2012,19:10,MCGC,FCE,RUHU,AHY,M,3.5,39.3,16.1,27,,,,,,
9100-23588,7/12/2012,19:35,MCGC,FCE,RUHU,AHY,M,3.5,38.9,16.1,28.8,,,,,,
9100-23589,7/12/2012,19:55,MCGC,TBE,RUHU,AHY,M,3.4,39,14.8,28,,,,,,
9100-23590,7/13/2012,10:10,KV1,FCE,BTLH,AHY,M,3.2,50.1,17,32,,,,,,
9100-23591,7/13/2012,13:34,HOLZ,FCE,RUHU,AHY,M,3.6,40.6,15.8,29,,,,,,
9100-23592,7/13/2012,14:35,HOLZ,FCE,RUHU,AHY,M,3.3,41.1,17.1,29.8,,,,,,
9100-23593,7/14/2012,9:20,MCGC,FCE,RUHU,AHY,M,3.7,40.2,16.2,29.1,,,,,,
9100-23594,7/14/2012,16:40,MP1,FCE,RUHU,AHY,M,3.7,40.7,17,28.1,,,,,,
9100-23595,7/14/2012,17:25,MP1,FCE,RUHU,AHY,M,3.1,40.2,16.5,29,,,,,,
9100-23596,7/14/2012,17:54,MP1,FCE,RUHU,AHY,M,3.7,40.4,16.2,29.6,,,,,,
9100-23597,7/15/2012,7:08,MCGC,FCE,RUHU,AHY,M,3.8,40.6,16.2,27.5,,,,,,
9100-23598,7/15/2012,7:54,MCGC,FCE,RUHU,AHY,M,3.8,40.2,16.1,28,,,,,,
9100-23599,7/18/2012,6:05,MCGC,FCE,RUHU,AHY,M,3.6,39.2,16.8,28,,,,,,
9100-23600,7/18/2012,8:00,MCGC,FCE,RUHU,AHY,M,3.7,40.3,16.1,29.1,,,,,,
9100-23601,7/11/2012,15:50,MCGC,TBE,BTLH,AHY,M,3.3,48.9,17.5,31.2,,,,,,
9100-23602,7/11/2012,16:15,MCGC,TBE,RUHU,AHY,F,3.6,42.9,16.4,27,,,,,,
9100-23603,7/11/2012,17:00,MCGC,FCE,RUHU,AHY,F,3.8,44.2,17.1,27,,,,,,
