Initials-Bdr,Location,year,mo,day,time,Band Status,Band Number,Tarsus / Condition,Band Size,Species,Sex,Age,Removed band num,GorColor,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth / P10 Shape,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen– Color,Fat,CPBreed,Gorget/head molt,Body Molt,Primary Molt,Secondary Molt,Tail Molt,Weight,Feather collected,Photo(s) taken,Sample Collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
SMW,HC,2021,9,21,10:58,1,U07785,F,G,ANHU,F,1,,R,25,,0,S,E,E,,,N,,49.5,19.3,N,T,2,F,F,F,F,F,3.97,,,,,,,,,NC
GS,HC,2021,7,10,6:31,1,U08701,D,D,RUHU,M,1,,O,99,,,N,,,,,,,40,16.7,N,1,,1,1,F,F,F,3.48,,,,,,,,,
GS,HC,2021,7,10,7:20,1,U08702,D,D,RUHU,M,1,,O,99,,,N,,,,,,,39,15.4,WH,1,,1,1,L,F,L,3.18,,,,,,,,,
GS,HC,2021,7,10,9:10,1,U08703,B,D,COHU,M,2,,P,2,0,3,Y,E,E,,,Y,2,44,14.7,N,0,,1,1,L,L,L,2.85,,,,1,10:44,,,,TAIL MID WHITE EDGE
GS,HC,2021,7,10,10:16,1,U08704,B,D,BCHU,M,1,,V,99,,,,,,,,,,42,18.1,N,0,,1,1,F,F,L,3.22,,,,,,,,,
SMW,HC,2021,8,8,5:58,1,U08705,D,D,BCHU,M,1,,V,99,,,,,,,,,,41.5,19.3,YHT,T,,2,2,2,F,L,,,,,,,,,,ESCAPED
SMW,HC,2021,8,8,6:14,1,U08706,C,D,BCHU,M,1,,V,99,,,,,,,,,,42,19.4,N,T,,L,1,L,F,L,3.02,,,,1,8:46,,,,
SMW,HC,2021,8,8,6:17,1,U08707,D,D,BCHU,M,1,,V,99,,,,,,,,,,43,18.5,N,0,,1,2,L,F,L,3.39,,,,,,,,,
SMW,HC,2021,8,8,6:28,1,U08708,D,D,BCHU,M,1,,V,99,,,,,,,,,,42,18.8,N,P,,F,F,L,F,L,3.06,,,,,,,,,
SMW,HC,2021,8,8,6:34,1,U08709,D,D,BCHU,M,1,,V,99,,,,,,,,,,43,19.2,N,0,,1,1,L,L,L,3.14,,,,1,7:02,,,,
SMW,HC,2021,8,8,6:53,1,U08710,D,D,BCHU,M,1,,V,99,,,,,,,,,,42.5,20.7,N,0,,2,2,M,L,L,3.13,,,,,,,,,MISSING LEFT R3-5
SMW,HC,2021,8,8,7:32,1,U08711,D,D,BCHU,M,1,,V,99,,,,,,,,,,42,19.9,N,0,,2,2,L,F,L,3.23,,,,,,,,,
SMW,HC,2021,8,8,7:40,1,U08712,D,D,BCHU,M,2,,V,3,,3,Y,U,E,,3X2,P,,43.5,19.3,N,0,,2,1,F,F,L,2.81,,,,,,,,,
SMW,HC,2021,8,8,7:48,1,U08713,D,D,BCHU,M,2,,HS,,,3,Y,,,,,,,44,19.8,N,P,,2,1,F,F,F,3.2,,,,,,,,,
SMW,HC,2021,8,8,8:02,1,U08714,D,D,BCHU,M,1,,V,99,,,,,,,,,,42.5,19.3,N,0,,2,1,M,F,L,2.96,,,,,,,,,TOENAIL MISSING BEFORE BANDING
