Initials.Bdr,latitude,longitude,elevation,region,Location,session,week,DATE,year,mo,day,time,Band.Status,BAND,0,0,TArsus.LEG,Size.Material,Species,SEX,AGE,Old band number,GPORCOlOR,GorCount (%),Head GCnt (%),Grooves,Buffy,PriWidth,Wng-TailTrait,TailCent,TailMid,TailOut,TailMeas (#),WingCd,Culmen,Pollen– Color,Fat fie1d data,CPBreed,Gorget/head molt,Body Molt,PriMary Molt,Secondary Molt,Tail Molt,Weight,Pollen Collected,Color Mark,Feather collected,Day Recap #,recap time 1,recap time 2,recap time 3,recap time 4,Comment
FTE,,,,CO,RMNP,6,21,5/16/2010,2010,5,16,,R,3100-41640,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/17/2010,2010,5,17,,R,3100-41640,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,7,23,5/23/2010,2010,5,23,,R,3100-41640,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,7,23,5/25/2010,2010,5,25,,R,3100-41640,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,7,23,5/25/2010,2010,5,25,,R,3100-41640,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/12/2010,2010,6,12,,R,3100-41640,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/20/2009,2009,5,20,,1,3100-41646,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/20/2009,2009,5,20,,R,3100-41646,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/21/2009,2009,5,21,,R,3100-41646,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/23/2009,2009,5,23,,R,3100-41646,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,7,23,5/26/2009,2009,5,26,,R,3100-41646,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,9,27,6/26/2009,2009,6,26,,R,3100-41646,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/15/2010,2010,5,15,,R,3100-41646,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/21/2009,2009,5,21,,1,3100-41654,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/16/2009,2009,6,16,,R,3100-41654,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/19/2009,2009,6,19,,R,3100-41654,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,9,27,6/30/2009,2009,6,30,,R,3100-41654,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,10,29,7/6/2009,2009,7,6,,R,3100-41654,1,1,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/23/2009,2009,5,23,,1,3100-41676,0,0,,,BTLH,F,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/20/2009,2009,5,20,,1,3100-41701,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/13/2009,2009,6,13,,R,3100-41701,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,10,29,7/9/2009,2009,7,9,,R,3100-41701,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,6,21,5/21/2009,2009,5,21,,1,3100-41702,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,7,23,5/23/2010,2010,5,23,,R,3100-41702,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,8,25,6/17/2010,2010,6,17,,R,3100-41702,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,9,27,7/3/2010,2010,7,3,,R,3100-41702,1,1,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FTE,,,,CO,RMNP,7,23,5/24/2009,2009,5,24,,1,3100-41712,0,0,,,BTLH,M,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
