band,original_band,other_bands,event_type,event_date,event_day,event_month,event_year,iso_country,iso_subdivision,lat_dd,lon_dd,coordinates_precision_code,band_type_code,species_name,species_id,bird_status,extra_info_code,age_code,sex_code,permit,band_status_code,how_obtained_code,who_obtained_code,reporting_method,present_condition,min_age_at_enc,record_source,record_id,species_scientific_name
B82833236578,B82833236578,,B,06/08/2022,08,06,2022,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,0,,,,,0.00,B,17679142,Selasphorus platycercus
B82833236578,B82833236578,,E,08/04/2022,04,08,2022,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,,66,23,14,07,1.17,R,17673096,Selasphorus platycercus
B82833237932,B82833237932,,B,08/21/2021,21,08,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,0,,,,,,B,15327442,Selasphorus platycercus
B82833237932,B82833237932,,E,08/02/2022,02,08,2022,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,2.17,R,17673082,Selasphorus platycercus
B82833331218,B82833331218,,B,07/18/2019,18,07,2019,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,0,,,,,0.00,B,10691832,Selasphorus platycercus
B82833331218,B82833331218,,E,07/23/2021,23,07,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,4,P3735013,,66,23,14,07,3.08,R,15094026,Selasphorus platycercus
B82833331611,B82833331611,,B,06/05/2021,05,06,2021,US,US-CO,38.95194,-106.98833,0,11,Broad-tailed Hummingbird,4320,3,75,1,5,P3735013,0,,,,,,B,15327026,Selasphorus platycercus
B82833331611,B82833331611,,E,07/31/2021,31,07,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,1.08,R,15094048,Selasphorus platycercus
B82833331692,B82833331692,,B,06/05/2021,05,06,2021,US,US-CO,38.95194,-106.98833,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,0,,,,,0.00,B,15327030,Selasphorus platycercus
B82833331692,B82833331692,,E,06/08/2021,08,06,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,,66,23,14,07,1.00,R,15093950,Selasphorus platycercus
B82833332872,B82833332872,,B,06/10/2019,10,06,2019,US,US-CO,38.95194,-106.98833,0,11,Broad-tailed Hummingbird,4320,3,75,1,5,P3735013,0,,,,,,B,10691720,Selasphorus platycercus
B82833332872,B82833332872,,E,07/15/2020,15,07,2020,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,2.08,R,12513492,Selasphorus platycercus
B82833332872,B82833332872,,E,07/29/2020,29,07,2020,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,2.08,R,12513530,Selasphorus platycercus
B82833332973,B82833332973,,B,06/08/2019,08,06,2019,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,5,P3735013,0,,,,,0.00,B,10691700,Selasphorus platycercus
B82833332973,B82833332973,,E,07/29/2020,29,07,2020,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,2.08,R,12513538,Selasphorus platycercus
B82833332973,B82833332973,,E,06/04/2021,04,06,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,3.00,R,15093940,Selasphorus platycercus
B82833332973,B82833332973,,E,08/02/2021,02,08,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,1,5,P3735013,,66,23,14,07,3.17,R,15094060,Selasphorus platycercus
B82833401454,B82833401454,,B,08/02/2021,02,08,2021,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,00,2,4,P3735013,0,,,,,0.00,B,15327058,Selasphorus platycercus
B82833401454,B82833401454,,E,06/11/2022,11,06,2022,US,US-CO,38.95500,-106.98694,0,11,Broad-tailed Hummingbird,4320,3,75,1,4,P3735013,,66,23,14,07,1.00,R,17673124,Selasphorus platycercus
