"band","band_status","year","sex","recap_num","obsdate","site","band_year","band_age","band_site","breeding","month","day","location"
"5000-96955","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96955","R",2006,"F","r01",2006-06-09,"MP1",2004,"AHY","MP1",NA,6,9,"east"
"5000-96956","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96957","1",2004,"F","r00",2004-08-21,"MP1",2004,"HY","MP1",NA,8,21,"east"
"5000-96958","1",2004,"F","r00",2004-08-21,"MP1",2004,"AHY","MP1",NA,8,21,"east"
"5000-96958","R",2004,"F","r01",2004-08-24,"MP1",2004,"AHY","MP1",NA,8,24,"east"
"5000-96958","R",2004,"F","r02",2004-08-25,"MP1",2004,"AHY","MP1",NA,8,25,"east"
"5000-96959","1",2004,"F","r00",2004-08-22,"MCGC",2004,"HY","MCGC",NA,8,22,"east"
"5000-96960","1",2004,"F","r00",2004-08-22,"MCGC",2004,"AHY","MCGC",NA,8,22,"east"
"5000-96960","R",2006,"F","r01",2006-06-06,"MCGC",2004,"AHY","MCGC",NA,6,6,"east"
"5000-96960","R",2009,"F","r01",2009-06-25,"MCGC",2004,"AHY","MCGC","E6",6,25,"east"
"5000-96961","1",2004,"M","r00",2004-08-22,"MCGC",2004,"HY","MCGC",NA,8,22,"east"
"5000-96961","R",2005,"M","r01",2005-06-10,"MCGC",2004,"HY","MCGC",NA,6,10,"east"
"5000-96961","R",2005,"M","r02",2005-06-12,"MCGC",2004,"HY","MCGC",NA,6,12,"east"
"5000-96962","1",2004,"F","r00",2004-08-22,"MCGC",2004,"AHY","MCGC",NA,8,22,"east"
"5000-96963","1",2004,"F","r00",2004-08-22,"KV1",2004,"AHY","KV1",NA,8,22,"west"
"5000-96964","1",2004,"F","r00",2004-08-22,"KV1",2004,"AHY","KV1",NA,8,22,"west"
"5000-96965","1",2004,"F","r00",2004-08-22,"KV1",2004,"AHY","KV1",NA,8,22,"west"
"5000-96966","1",2004,"M","r00",2004-08-22,"GNMTN",2004,"AHY","GNMTN",NA,8,22,"west"
"5000-96966","R",2005,"M","r01",2005-07-01,"GNMTN",2004,"AHY","GNMTN",NA,7,1,"west"
"5000-96967","1",2004,"F","r00",2004-08-22,"GNMTN",2004,"AHY","GNMTN",NA,8,22,"west"
"5000-96967","R",2006,"F","r01",2006-06-24,"GNMTN",2004,"AHY","GNMTN",NA,6,24,"west"
"5000-96967","R",2006,"F","r02",2006-06-30,"GNMTN",2004,"AHY","GNMTN","E6",6,30,"west"
"5000-96967","R",2006,"F","r03",2006-07-14,"GNMTN",2004,"AHY","GNMTN",NA,7,14,"west"
"5000-96968","1",2004,"M","r00",2004-08-23,"MCGC",2004,"HY","MCGC",NA,8,23,"east"
"5000-96968","R",2005,"M","r01",2005-06-06,"MCGC",2004,"HY","MCGC",NA,6,6,"east"
"5000-96969","1",2004,"M","r00",2004-08-23,"MCGC",2004,"HY","MCGC",NA,8,23,"east"
"5000-96970","1",2004,"F","r00",2004-08-23,"MCGC",2004,"AHY","MCGC",NA,8,23,"east"
"5000-96971","1",2004,"M","r00",2004-08-24,"CC2",2004,"HY","CC2",NA,8,24,"east"
"5000-96972","1",2004,"F","r00",2004-08-24,"MP1",2004,"AHY","MP1",NA,8,24,"east"
"5000-96973","1",2004,"M","r00",2004-08-24,"MP1",2004,"HY","MP1",NA,8,24,"east"
"5000-96974","1",2004,"F","r00",2004-08-24,"MP1",2004,"HY","MP1",NA,8,24,"east"
"5000-96974","R",2004,"F","r01",2004-08-25,"MP1",2004,"HY","MP1",NA,8,25,"east"
"5000-96975","1",2004,"M","r00",2004-08-24,"MP1",2004,"HY","MP1",NA,8,24,"east"
"5000-96976","1",2004,"M","r00",2004-08-24,"MP1",2004,"HY","MP1",NA,8,24,"east"
"5000-96976","R",2007,"M","r01",2007-06-22,"GC1",2004,"HY","MP1",NA,6,22,"east"
"5000-96977","1",2004,"F","r00",2004-08-24,"MP1",2004,"AHY","MP1",NA,8,24,"east"
