"","Protocol","CMR","Bander","Location","Date","Year","Month","Day","Time","Old.Band.Status","Band.Status","Band.Number","Leg.Condition","Tarsus.Measurement","Band.Size","Species","Sex","Age","Replaced.Band.Number","Gorget.Color","Gorget.Count","Head.Count","Grooves","Buffy","Bill.Trait","Green.on.back","Primary.Width.P.10.Shape","Wing.Tail.Trait","Tail.Center","Tail.Middle","Tail.Outer","Tail.Measurement","Wing.Chord","Culmen","Tail","Pollen.Color..Location","Fat","CP.Breed","Head.Gorget","Body","Primaries","Secondaries","Tail.1","Weight","Photo.Taken","Sample.Type","Day.Recaptures","Recapture.Time.1","Recapture.Time.2","Recapture.Time.3","Recapture.Time.4","Comment"
"48","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:34","R","R","U07517","1",NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"PH","P","5","F","F","F","FALSE","L","3.27",NA,NA,NA,NA,NA,NA,NA,NA
"49","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:36","R","R","U07518","1",NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,"R",NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"PH","T","5","F","F","F","FALSE","L","3.25",NA,NA,NA,NA,NA,NA,NA,NA
"50","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:10","R","R","U07532",NA,NA,NA,"BBLH","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","10:01",NA,NA,NA,"NECTAR IN CROP, WOUND ON LEFT WING COVERT"
"51","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:07","R","R","U07536",NA,NA,NA,"BCHU","F","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","9:54",NA,NA,NA,NA
"52","HMN","Y","SMW","HC",NA,NA,NA,NA,"7:45","R","R","U08757",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:52","R","R","U08761","1",NA,NA,"BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","0",NA,"L","F","F","FALSE","F","3.27",NA,NA,NA,NA,NA,NA,NA,NA
"54","HMN","Y","SMW","HC",NA,NA,NA,NA,"10:50","R","R","U08774","1",NA,NA,"ANHU","M","1",NA,"R","99","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47","18.6",NA,"N","P",NA,"F","F","F","FALSE","F","3.94",NA,NA,NA,NA,NA,NA,NA,NA
"55","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:20","R","R","U08809",NA,NA,NA,"BBLH","M","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","HMN","Y","SMW","HC",NA,NA,NA,NA,"8:02","R","R","U08812","1",NA,NA,"BBLH","M","1",NA,"B","99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0",NA,"N","0",NA,"F","F","F","FALSE","F","3.16",NA,NA,"1","9:01",NA,NA,NA,"NECTAR IN CROP"
"57","HMN","Y","SMW","HC",NA,NA,NA,NA,NA,"1","1","U09031",NA,NA,"G","UNHU","U",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISSING DATA DUE TO GABY DELETING IT FROM KOBO SERVER"
