"","UBI_band","band_status","year","fixed_sex","site"
"398","5000-96664","R",2005,"F","MCGC"
"399","5000-96671","R",2005,"F","MP1"
"400","5000-96672","R",2005,"F","MP1"
"401","5000-96673","R",2005,"F","MP1"
"402","5000-96674","R",2005,"M","MP1"
"403","5000-96675","R",2005,"F","MP1"
"404","5000-96676","R",2005,"F","MP1"
"405","5000-96678","R",2005,"F","MP1"
"406","5000-96679","R",2005,"F","MP1"
"407","5000-96680","R",2005,"F","MP1"
"408","5000-96683","R",2005,"F","MP1"
"409","5000-96684","R",2005,"F","MP1"
"410","5000-96685","R",2005,"F","MP1"
"411","5000-96694","R",2005,"F","MCGC"
"412","5000-96731","R",2005,"F","MP1"
"413","5000-96732","R",2005,"F","MP1"
"414","5000-96737","R",2005,"F","MP1"
"415","5000-96743","R",2005,"F","MP1"
"416","5000-96745","R",2005,"F","MP1"
"417","5000-96752","R",2005,"F","MCGC"
"418","5000-96760","R",2005,"F","MP1"
"419","5000-96768","R",2005,"F","MP1"
"420","5000-96772","R",2005,"F","MP1"
"421","5000-96786","R",2005,"F","MCGC"
"422","5000-96790","R",2005,"M","MCGC"
"423","5000-96800","R",2005,"F","MP1"
"424","5000-96806","R",2005,"F","MP1"
"425","5000-96808","R",2005,"F","MP1"
"426","5000-96811","R",2005,"F","MP1"
"427","5000-96812","R",2005,"M","MP1"
"428","5000-96819","R",2005,"F","MP1"
"429","5000-96821","R",2005,"F","MP1"
"430","5000-96822","R",2005,"F","MP1"
"431","5000-96824","R",2005,"F","GNMTN"
"432","5000-96831","R",2005,"M","MCGC"
"433","5000-96832","R",2005,"F","MCGC"
"434","5000-96834","R",2005,"F","MCGC"
"435","5000-96835","R",2005,"F","MCGC"
"436","5000-96845","R",2005,"F","MP1"
"437","5000-96847","R",2005,"F","MP1"
"438","5000-96848","R",2005,"F","MP1"
"439","5000-96850","R",2005,"F","MP1"
"440","5000-96851","R",2005,"F","MCGC"
"441","5000-96852","R",2005,"M","MCGC"
"442","5000-96861","R",2005,"F","MP1"
"443","5000-96863","R",2005,"F","MP1"
"444","5000-96872","R",2005,"F","MP1"
"445","5000-96873","R",2005,"F","MP1"
"446","5000-96912","R",2005,"F","MP1"
"447","5000-96917","R",2005,"F","MP1"
"448","5000-96922","R",2005,"F","MP1"
"449","5000-96930","R",2005,"F","MP1"
"450","5000-96940","R",2005,"F","MP1"
"451","5000-96942","R",2005,"F","MP1"
"452","5000-96946","R",2005,"F","MP1"
"453","5000-96947","R",2005,"F","MP1"
"454","5000-96948","R",2005,"F","MP1"
"455","5000-96951","R",2005,"F","MP1"
"456","5000-96961","R",2005,"M","MCGC"
"457","5000-96966","R",2005,"M","GNMTN"
"458","5000-96968","R",2005,"M","MCGC"
"459","5000-96977","R",2005,"F","MP1"
"460","5000-96980","R",2005,"F","MP1"
"461","5000-96986","R",2005,"F","MP1"
"462","5000-96989","R",2005,"F","MP1"
"463","5000-96997","R",2005,"F","MP1"
"464","5000-97012","R",2005,"F","MP1"
"465","5000-97024","R",2005,"F","MP1"
"466","5000-97036","R",2005,"F","MP1"
"467","5000-97060","R",2005,"F","MCGC"
"468","5000-97062","R",2005,"F","MCGC"
"469","5000-97064","R",2005,"F","MCGC"
"470","5000-97065","R",2005,"M","MCGC"
"471","5000-97066","R",2005,"M","MCGC"
"472","5000-97067","R",2005,"M","MCGC"
"473","5000-97068","R",2005,"M","MCGC"
