"","band","band_status","year","age","sex","site","site_recap","location"
"2783","4100-08621","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2784","4100-08622","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2785","4100-08622","R",2011,"AHY","F","GNMTN","GNMTN","west"
"2786","4100-08623","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2787","4100-08624","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2788","4100-08625","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2789","4100-08626","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2790","4100-08627","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2791","4100-08627","R",2011,"AHY","F","GNMTN","GNMTN","west"
"2792","4100-08628","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2793","4100-08629","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2794","4100-08629","R",2011,"AHY","F","GNMTN","GNMTN","west"
"2795","4100-08630","1",2010,"AHY","F","KV1","KV1","west"
"2796","4100-08631","1",2010,"AHY","F","KV1","KV1","west"
"2797","4100-08631","R",2011,"AHY","F","KV1","KV1","west"
"2798","4100-08632","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2799","4100-08632","R",2011,"AHY","F","GNMTN","GNMTN","west"
"2800","4100-08633","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2801","4100-08633","R",2011,"AHY","F","GNMTN","GNMTN","west"
"2802","4100-08634","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2803","4100-08635","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2804","4100-08636","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2805","4100-08637","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2806","4100-08637","R",2011,"AHY","F","GNMTN","GNMTN","west"
"2807","4100-08638","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2808","4100-08639","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2809","4100-08640","1",2010,"AHY","F","GNMTN","GNMTN","west"
"2810","4100-08641","1",2010,"AHY","F","MCGC","MCGC","east"
"2811","4100-08642","1",2010,"AHY","F","MCGC","MCGC","east"
"2812","4100-08643","1",2010,"AHY","F","MCGC","MCGC","east"
"2813","4100-08643","R",2010,"AHY","F","MCGC","CC3","east"
"2814","4100-08643","R",2011,"AHY","F","MCGC","MCGC","east"
