"","UBI_band","band_status","year","species","age","fixed_sex","site"
"2436","9000-12054","1",2006,"BTLH","AHY","F","GNMTN"
"2437","9000-12055","1",2006,"BTLH","AHY","F","GNMTN"
"2438","9000-12056","1",2006,"BTLH","AHY","F","KV1"
"2439","9000-12057","1",2006,"BTLH","AHY","F","KV1"
"2440","9000-12058","1",2006,"BTLH","AHY","F","KV1"
"2441","9000-12059","1",2006,"BTLH","AHY","F","KV1"
"2442","9000-12060","1",2006,"BTLH","AHY","F","KV1"
"2443","9000-12061","1",2006,"BTLH","AHY","F","KV1"
"2444","9000-12062","1",2006,"BTLH","AHY","F","KV1"
"2445","9000-12063","1",2006,"BTLH","AHY","F","MP1"
"2446","9000-12064","1",2006,"BTLH","AHY","F","MP1"
"2447","9000-12065","1",2006,"BTLH","AHY","F","MP1"
"2448","9000-12066","1",2006,"BTLH","AHY","F","MP1"
"2449","9000-12067","1",2006,"BTLH","AHY","F","MP1"
"2450","9000-12068","1",2006,"BTLH","AHY","F","MP1"
"2451","9000-12069","1",2006,"BTLH","AHY","F","MP1"
"2452","9000-12070","1",2006,"BTLH","AHY","F","MP1"
"2453","9000-12071","1",2006,"BTLH","AHY","F","MP1"
"2454","9000-12072","1",2006,"BTLH","AHY","F","MP1"
"2455","9000-12073","1",2006,"BTLH","AHY","F","MP1"
"2456","9000-12074","1",2006,"BTLH","AHY","F","MP1"
"2457","9000-12075","R",2006,"BTLH","AHY","F","MP1"
"2458","9000-12076","1",2006,"BTLH","AHY","F","MP1"
"2459","9000-12077","1",2006,"BTLH","AHY","F","MP1"
"2460","9000-12078","1",2006,"BTLH","HY","M","MCGC"
"2461","9000-12079","1",2006,"BTLH","AHY","F","MCGC"
"2462","9000-12080","1",2006,"BTLH","AHY","F","MCGC"
"2463","9000-39458","1",2006,"BTLH","AHY","F","MCGC"
"2464","9000-12082","1",2006,"BTLH","AHY","F","MCGC"
"2465","9000-12083","1",2006,"BTLH","AHY","F","MCGC"
"2466","9000-12084","1",2006,"BTLH","AHY","F","MCGC"
"2467","9000-12085","1",2006,"BTLH","AHY","F","MCGC"
"2468","9000-12086","1",2006,"BTLH","AHY","F","MCGC"
"2469","9000-12087","1",2006,"BTLH","AHY","F","MCGC"
"2470","9000-12088","1",2006,"BTLH","AHY","F","MCGC"
"2471","9000-12089","1",2006,"BTLH","AHY","F","MCGC"
"2472","9000-12090","1",2006,"BTLH","AHY","F","MCGC"
"2473","9000-12091","1",2006,"BTLH","AHY","F","MCGC"
"2474","9000-12092","1",2006,"BTLH","AHY","F","MCGC"
"2475","9000-12093","1",2006,"BTLH","AHY","F","MCGC"
"2476","9000-12094","1",2006,"BTLH","AHY","F","CC3"
"2477","9000-12095","1",2006,"BTLH","AHY","F","CC3"
"2478","9000-12096","1",2006,"BTLH","AHY","F","CC3"
"2479","9000-12098","1",2006,"BTLH","AHY","F","MCGC"
"2480","9000-12099","1",2006,"BTLH","AHY","F","MCGC"
"2481","9000-12100","1",2006,"BTLH","AHY","F","MCGC"
"2482","9000-12101","1",2006,"BTLH","AHY","F","MCGC"
"2483","9000-12111","1",2006,"BTLH","AHY","F","MCGC"
