"","band","band_status","recap_yr","recaptured_sex","recapture_age","site_recap","r1","comments"
"689","4100-58648","R",2012,"F","AHY","MCGC","5/29, E6, 3.4",""
"690","4100-59762","R",2012,"M","AHY","MCGC","5/29, 3.6",""
"691","4100-59574","R",2012,"F","AHY","MCGC","5/29, E6, 3.59",""
"692","4100-08138","R",2012,"F","AHY","MCGC","5/29, 3.59",""
"693","4100-59200","R",2012,"F","AHY","MCGC","5/29, E6, 3.5",""
"694","9000-90263","R",2012,"F","AHY","MCGC","5/29, 3.43",""
"695","3100-42712","R",2012,"F","AHY","MCGC","5/29, 3.18",""
"696","4100-59165","R",2012,"F","AHY","MCGC","5/29, 3.44",""
"697","4100-59450","R",2012,"F","AHY","MCGC","5/29, E7, 3.39",""
"698","4100-08590","R",2012,"F","AHY","MCGC","5/29, E6, 3.4",""
"699","4100-59067","R",2012,"M","AHY","MCGC","5/29, 3.1",""
"700","3100-42214","R",2012,"F","AHY","MCGC","5/29, 3.8",""
"701","4100-08996","R",2012,"F","AHY","MCGC","5/29, E6, 3.5",""
"702","4100-59762","R",2012,"M","AHY","MCGC","5/29, 3.3","again"
"703","9100-23035","R",2012,"M","AHY","MCGC","5/29, 3.2",""
"704","9100-23032","R",2012,"M","AHY","MCGC","5/29, 3.32",""
"705","9100-22913","R",2012,"F","AHY","MCGC","5/29, 3.5",""
"706","3100-42511","R",2012,"F","AHY","MCGC","5/29, E6, 3.6",""
"707","9100-23805","R",2012,"M","AHY","MCGC","5/29, 3.1","again"
"708","9100-23066","R",2012,"M","AHY","MCGC","5/29,  ","again"
"709","4100-08590","R",2012,"F","AHY","MCGC","5/29, 3.3",""
"710","4100-59815","R",2012,"F","AHY","MCGC","5/29, 3.8",""
"711","9100-22905","R",2012,"F","AHY","MCGC","5/29, 3.7",""
"712","4100-08367","R",2012,"F","AHY","MCGC","5/29, 3.6",""
"713","4100-08202","R",2012,"F","AHY","MCGC","5/29, 3.3",""
"714","4100-59355","R",2012,"F","AHY","MCGC","5/29, E6, 3.8",""
"715","3100-42195","R",2012,"F","AHY","MCGC","5/29, 3.4",""
"716","4100-59576","R",2012,"F","AHY","MCGC","5/29, E8, 4.1",""
"717","9100-23007","R",2012,"M","AHY","MCGC","5/29, 3.2",""
"718","9100-22805","R",2012,"M","AHY","MCGC","5/29, 3",""
"719","4100-59207","R",2012,"M","AHY","MCGC","5/29, 3.4",""
"720","4100-59452","R",2012,"F","AHY","MCGC","5/29, E9, 4.1",""
"721","4100-08959","R",2012,"F","AHY","MCGC","5/29, 3.4",""
"722","4100-08138","R",2012,"F","AHY","MCGC","5/31, 3.8",""
"723","4100-59762","R",2012,"M","AHY","MCGC","5/31, 3.1",""
"724","4100-59067","R",2012,"M","AHY","MCGC","5/31, 3",""
"725","9000-90654","R",2012,"F","AHY","MCGC","5/31, E7, 3.8",""
"726","9100-23016","R",2012,"M","AHY","MCGC","5/31, ",""
"727","4100-08326","R",2012,"F","AHY","MCGC","5/31, 3.9",""
"728","9100-22902","R",2012,"F","AHY","MCGC","5/31, E6, 3.6",""
"729","4100-08723","R",2012,"F","AHY","MCGC","5/31, 3.9",""
"730","9100-23073","R",2012,"M","AHY","MCGC","5/31, 3.4",""
"731","9100-23006","R",2012,"M","AHY","MCGC","5/31, 3.1",""
"732","4100-59574","R",2012,"F","AHY","MCGC","5/31, 3.6",""
"733","9199-22916","R",2012,"F","AHY","MCGC","5/31, 3.5",""
"734","4100-59303","R",2012,"F","AHY","MCGC","5/31, E7, 4",""
"735","3100-42195","R",2012,"F","AHY","MCGC","5/31, 3.6",""
"736","9100-22914","R",2012,"F","AHY","MCGC","5/31, 3.7",""
"737","3100-42325","R",2012,"F","AHY","MCGC","5/31, 3.3",""
"738","4100-59303","R",2012,"F","AHY","MCGC","5/31,  ","again"
"739","4100-59398","R",2012,"F","AHY","MCGC","5/31, E7, 3.8",""
"740","9100-22805","R",2012,"M","AHY","MCGC","5/31, 2.8",""
"741","9100-23032","R",2012,"M","AHY","MCGC","5/31, 3.4",""
"742","4100-59574","R",2012,"F","AHY","MCGC","5/31, 3.5","again"
"743","9100-22805","R",2012,"M","AHY","MCGC","5/31, 2.8","again"
"744","4100-59452","R",2012,"F","AHY","MCGC","5/31, 3.4",""
"745","9100-23006","R",2012,"M","AHY","MCGC","5/31,  ","again"
"746","3100-42097","R",2012,"F","AHY","MCGC","5/31, E6, 3.7",""
"747","9000-39582","R",2012,"F","AHY","MCGC","5/31, E6, 4.5",""
