"band","band_status","recap_yr","sex","site_orig","r01","r02","r03","r04","r05","r06","r07","r08","r09","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"3100-41822","R",2012,"F","MP1","6/11, 3.28","","","","","","","","","","","","","","","","",""
"4100-58504","R",2012,"F","MP1","6/11, 3.65","","","","","","","","","","","","","","","","",""
"4100-59481","R",2012,"F","MP1","6/11, 3.55","","","","","","","","","","","","","","","","",""
"4100-59160","R",2012,"F","MP1","6/11, 3.57","","","","","","","","","","","","","","","","",""
"4100-59757","R",2012,"F","MP1","6/11, 3.59","","","","","","","","","","","","","","","","",""
"9000-39860","R",2012,"F","MP1","6/11, 3.47","","","","","","","","","","","","","","","","",""
"4100-59021","R",2012,"M","MP1","6/11, 3.2","","","","","","","","","","","","","","","","",""
"4100-08172","R",2012,"F","MP1","6/11, 3.28","","","","","","","","","","","","","","","","",""
"9100-23153","R",2012,"M","HOLZ","6/13, 3.3","","","","","","","","","","","","","","","","",""
"9100-23192","R",2012,"M","HOLZ","6/13, 3.13","","","","","","","","","","","","","","","","",""
"4100-59598","R",2012,"M","HOLZ","6/13, 3.14","","","","","","","","","","","","","","","","",""
"4100-58723","R",2012,"F","HOLZ","6/13, 3.4","","","","","","","","","","","","","","","","",""
"4100-58517","R",2012,"F","GNMTN","6/13, 3.68","","","","","","","","","","","","","","","","",""
"4100-08817","R",2012,"F","GNMTN","6/13, 3.66","","","","","","","","","","","","","","","","",""
"4100-08619","R",2012,"F","GNMTN","6/13, 3.63","","","","","","","","","","","","","","","","",""
"4100-59427","R",2012,"F","GNMTN","6/13, 3.93","","","","","","","","","","","","","","","","",""
"9100-23379","R",2012,"F","GNMTN","6/13, ","","","","","","","","","","","","","","","","","Banded earlier today"
"9100-23305","R",2012,"M","GNMTN","6/13, ","","","","","","","","","","","","","","","","","Banded earlier today"
"4100-59390","R",2012,"F","GNMTN","6/13, 4","","","","","","","","","","","","","","","","",""
"9100-23257","R",2012,"F","GNMTN","6/13, 3.66","","","","","","","","","","","","","","","","",""
"9000-90915","R",2012,"F","MP1","6/18, 3.72","","","","","","","","","","","","","","","","",""
"4100-08716","R",2012,"F","MP1","6/18, 3.62","","","","","","","","","","","","","","","","",""
"9100-23402","R",2012,"F","MP1","6/18, 3.86","","","","","","","","","","","","","","","","","Banded earlier today"
"9100-22996","R",2012,"F","MP1","6/18, 4.81","","","","","","","","","","","","","","","","",""
"9100-23211","R",2012,"M","MP1","6/18, 3.46","","","","","","","","","","","","","","","","",""
"4100-59876","R",2012,"M","MP1","6/18, 3.19","","","","","","","","","","","","","","","","",""
"9100-23277","R",2012,"F","MP1","6/19, 3.35","","","","","","","","","","","","","","","","",""
"9100-22969","R",2012,"F","MP1","6/19, 3.74","","","","","","","","","","","","","","","","",""
"9100-22874","R",2012,"F","MP1","6/19, 3.45","","","","","","","","","","","","","","","","",""
"9100-23211","R",2012,"M","MP1","6/19, 3.3","","","","","","","","","","","","","","","","",""
"4100-13781","R",2012,"F","MP1","6/19, 3.76","","","","","","","","","","","","","","","","",""
"9100-23053","R",2012,"M","MP1","6/19, 3.27","","","","","","","","","","","","","","","","",""
"3100-42497","R",2012,"F","MP1","6/19, 3.94","","","","","","","","","","","","","","","","",""
"9100-23243","R",2012,"M","MP1","6/19, 3.4","","","","","","","","","","","","","","","","",""
"4100-59020","R",2012,"M","MP1","6/19, 3","","","","","","","","","","","","","","","","",""
"4100-59021","R",2012,"M","MP1","6/19, 3.29","","","","","","","","","","","","","","","","",""
"4100-59108","R",2012,"F","MP1","6/19, 3.65","","","","","","","","","","","","","","","","",""
"9100-23273","R",2012,"F","MP1","6/19, 3.48","","","","","","","","","","","","","","","","",""
"4100-08173","R",2012,"F","MP1","6/19, 3.87","","","","","","","","","","","","","","","","",""
"4100-59164","R",2012,"M","MP1","6/19, 3.21","","","","","","","","","","","","","","","","",""
"4100-59464","R",2012,"F","MP1","6/19, 3.37","","","","","","","","","","","","","","","","",""
"9100-23322","R",2012,"M","MP1","6/19, 3.06","","","","","","","","","","","","","","","","",""
"9100-22993","R",2012,"F","MP1","6/19, 3.94","","","","","","","","","","","","","","","","",""
"4100-59759","R",2012,"F","MP1","6/19, 3.59","","","","","","","","","","","","","","","","",""
"3100-42735","R",2012,"F","MP1","6/19, 3.6","","","","","","","","","","","","","","","","",""
"9000-39929","R",2012,"F","MP1","6/19, 3.84","","","","","","","","","","","","","","","","",""
"9100-22970","R",2012,"F","MP1","6/19, 3.5","","","","","","","","","","","","","","","","",""
"9100-23359","R",2012,"F","MP1","6/19, 3.34","","","","","","","","","","","","","","","","",""
"9100-23011","R",2012,"M","MP1","6/19, 3.12","","","","","","","","","","","","","","","","",""
"9000-39412","R",2012,"F","KV1","6/21, 3.43","","","","","","","","","","","","","","","","",""
"9100-22926","R",2012,"F","KV1","6/21, 3.45","","","","","","","","","","","","","","","","",""
"4100-08902","R",2012,"F","KV1","6/21, 3.61","","","","","","","","","","","","","","","","",""
"4100-59487","R",2012,"F","GNMTN","6/21, 3.45","","","","","","","","","","","","","","","","",""
"9100-23383","R",2012,"M","GNMTN","6/21, 3.77","","","","","","","","","","","","","","","","",""
"9100-23155","R",2012,"M","GNMTN","6/21, 3.38","","","","","","","","","","","","","","","","",""
