"band","band_status","recap_yr","sex","site_orig","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","comments"
"5000-11663","R",2004,"F","MCGC","6/4 3.5g","6/26 3.9g","7/11 3.7g","7/15 3.7g","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11666","R",2004,"M","MCGC","6/10 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11669","R",2004,"F","MCGC","6/13 3.5g E7","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11683","R",2004,"F","MCGC","6/3 3.8g E8","6/15 3.3g HTW","7/19 3.3g 2x","7/24 3.7g 2x","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11684","R",2004,"F","MCGC","6/18 4.1g","6/30 3.5g","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11699","R",2004,"F","MCGC","7/12 3.6g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11706","R",2004,"F","MCGC","7/24 n.w.","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11723","R",2004,"F","MCGC","6/10 3.4g E7","7/26 3.5g","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11731","R",2004,"F","MCGC","5/8 3.5g","6/10 3.5g","6/11 3.6g","6/16 3.7g","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11732","R",2004,"F","MCGC","6/16 3.9g E8","7/15 3.3g LTW","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11738","R",2004,"F","MCGC","6/11 3.6g","7/1 3.5g HTW","7/19 3.7g","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11754","R",2004,"F","MCGC","6/14 3.3g","6/18 3.3g","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11757","R",2004,"F","MCGC","6/11 3.3g 2x","6/14 3.4g HTW","6/15 3.6g E7","6/16 3.3g 2x","6/17 3.3g","6/18 3.4g","7/14 3.6g","7/19 3.5 g","8/10 3.3g","8/16 3.5g HTW",NA,NA,NA,NA,NA,NA,NA,""
"5000-11774","R",2004,"M","MCGC","6/14 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11776","R",2004,"F","MCGC","7/15 3.2g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11779","R",2004,"F","MCGC","8/10 3.4g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-11787","R",2004,"F","MCGC","7/1 3.5g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29205","R",2004,"F","MCGC","6/26 3.6g","7/25 3.6g","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
"5000-29213","R",2004,"F","MCGC","7/19 3.8g","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,""
