"UBI_band","band_status","year","date","age","fixed_sex","site","comments"
"4100-59394","1",2011,2011-06-26,"AHY","F","KV1",""
"4100-59395","1",2011,2011-06-26,"AHY","F","KV1",""
"4100-59396","1",2011,2011-06-26,"AHY","F","KV1","E9"
"4100-59397","1",2011,2011-06-26,"AHY","F","KV1",""
"4100-59398","1",2011,2011-06-27,"AHY","F","MCGC",""
"4100-59399","1",2011,2011-06-27,"AHY","F","MCGC",""
"4100-59400","1",2011,2011-06-27,"AHY","F","MCGC",""
"4100-59411","1",2011,2011-06-27,"AHY","F","MCGC",""
"4100-59412","1",2011,2011-06-29,"AHY","F","MCGC",""
"4100-59413","1",2011,2011-06-29,"AHY","F","MCGC",""
"4100-59414","1",2011,2011-06-29,"AHY","F","MCGC",""
"4100-59415","1",2011,2011-06-30,"AHY","F","KV1",""
"4100-59416","1",2011,2011-06-30,"AHY","F","KV1",""
"4100-59417","1",2011,2011-06-30,"AHY","F","KV1",""
"4100-59418","1",2011,2011-06-30,"AHY","F","KV1",""
"4100-59419","1",2011,2011-06-30,"AHY","F","KV1",""
"4100-59420","1",2011,2011-06-30,"AHY","F","KV1",""
"4100-59421","1",2011,2011-06-30,"AHY","F","KV1",""
"4100-59422","1",2011,2011-06-30,"AHY","F","KV1",""
"4100-59423","1",2011,2011-06-30,"AHY","F","KV1",""
"4100-59424","1",2011,2011-06-30,"AHY","F","GNMTN",""
"4100-59425","1",2011,2011-06-30,"AHY","F","GNMTN",""
"4100-59426","1",2011,2011-06-30,"AHY","F","GNMTN","E8"
"4100-59427","1",2011,2011-06-30,"AHY","F","GNMTN",""
"4100-59428","1",2011,2011-06-30,"AHY","F","GNMTN",""
"4100-59429","1",2011,2011-06-30,"AHY","F","GNMTN",""
"4100-59430","1",2011,2011-06-30,"AHY","F","GNMTN",""
"4100-59431","1",2011,2011-07-01,"AHY","F","MCGC","banded on left leg"
"4100-59432","1",2011,2011-07-01,"AHY","F","MCGC",""
"4100-59433","1",2011,2011-07-01,"AHY","F","MCGC",""
"4100-59434","1",2011,2011-07-01,"AHY","F","MCGC",""
"4100-59435","1",2011,2011-07-01,"AHY","F","MCGC",""
"4100-59436","1",2011,2011-07-01,"AHY","F","MCGC","E9"
"4100-59437","1",2011,2011-07-03,"AHY","F","MCGC",""
"4100-59438","1",2011,2011-07-03,"AHY","F","MCGC","E6+"
"4100-59439","1",2011,2011-07-03,"AHY","F","MCGC","worn r1s"
"4100-59440","1",2011,2011-07-03,"AHY","F","MCGC",""
"4100-59441","1",2011,2011-07-03,"AHY","F","MCGC",""
"4100-59442","1",2011,2011-07-03,"AHY","F","HPK2",""
"4100-59443","1",2011,2011-07-03,"AHY","F","HPK2",""
"4100-59444","1",2011,2011-07-03,"AHY","F","HPK2","E9"
"4100-59445","1",2011,2011-07-03,"AHY","F","HPK2",""
"4100-59446","1",2011,2011-07-03,"AHY","F","HPK2",""
"4100-59447","1",2011,2011-07-04,"AHY","F","MCGC",""
"4100-59448","1",2011,2011-07-04,"AHY","F","MCGC",""
"4100-59449","1",2011,2011-07-04,"AHY","F","MCGC","E6"
"4100-59450","1",2011,2011-07-04,"AHY","F","MCGC",""
"4100-59452","1",2011,2011-07-04,"AHY","F","MCGC",""
"4100-59453","1",2011,2011-07-04,"AHY","F","MCGC","E6"
"4100-59454","1",2011,2011-07-04,"AHY","F","MCGC","E7"
"4100-59455","1",2011,2011-07-04,"AHY","F","MCGC",""
"4100-59456","1",2011,2011-07-04,"AHY","F","CC3",""
"4100-59457","1",2011,2011-07-04,"AHY","F","CC3",""
"4100-59458","1",2011,2011-07-04,"AHY","F","CC3",""
"4100-59459","1",2011,2011-07-04,"AHY","F","CC3",""
"4100-59460","1",2011,2011-07-05,"AHY","F","MCGC","E7"
"4100-59461","1",2011,2011-07-05,"AHY","F","MCGC",""
"4100-59462","1",2011,2011-07-05,"AHY","F","MP1",""
"4100-59463","1",2011,2011-07-05,"AHY","F","MP1",""
"4100-59464","1",2011,2011-07-05,"AHY","F","MP1",""
"4100-59465","1",2011,2011-07-05,"AHY","F","MP1",""
"4100-59466","1",2011,2011-07-05,"AHY","F","MP1",""
"4100-59467","1",2011,2011-07-05,"AHY","F","MP1",""
"4100-59468","1",2011,2011-07-05,"AHY","F","MP1",""
"4100-59469","1",2011,2011-07-05,"AHY","F","MP1","E8"
"4100-59470","1",2011,2011-07-05,"AHY","F","MP1","E8+"
"4100-59471","1",2011,2011-07-06,"AHY","F","MCGC",""
"4100-59472","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59473","1",2011,2011-07-08,"AHY","F","MP1","E8"
"4100-59474","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59475","1",2011,2011-07-08,"AHY","F","MP1","E6"
"4100-59476","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59477","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59478","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59479","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59480","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59481","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59482","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59483","1",2011,2011-07-08,"AHY","F","MP1",""
"4100-59484","1",2011,2011-07-09,"AHY","F","GNMTN",""
"4100-59485","1",2011,2011-07-09,"AHY","F","GNMTN",""
"4100-59486","1",2011,2011-07-09,"AHY","F","GNMTN",""
"4100-59487","1",2011,2011-07-09,"AHY","F","GNMTN","E7"
"4100-59488","1",2011,2011-07-09,"AHY","F","GNMTN",""
"4100-59489","1",2011,2011-07-09,"AHY","F","GNMTN",""
"4100-59490","1",2011,2011-07-09,"AHY","F","KV1","E9"
"4100-59501","1",2011,2011-07-09,"AHY","F","KV1",""
